Patient ID,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19
Subject_25,0.31098157,0.5172301,-1.3476329,1.2612207,1.0143149,1.5222855,-0.018868187,0.87858105,0.8264414,0.6540996,0.6953355,-1.3926637,-0.65188885,-0.9451419,0.6086538,-0.70190877,1.028716,1.0123905,-2.2266018,0.3486199
Subject_26,1.4082581,0.82462186,-0.62326354,-0.23927063,0.86136013,0.9532824,-0.00978205,0.97431403,-0.79804075,0.30339727,-0.78177905,1.1926678,-1.5430177,0.9492446,1.1117202,1.348054,1.177925,0.6040862,1.6505289,0.60682666
Subject_27,-0.753202,-0.7735725,-0.24319917,-0.018803995,0.37242457,0.41339618,-0.41890758,-1.1694478,-0.71823996,0.13351159,0.618813,1.0471917,-0.61226606,0.47883886,-0.57135934,1.0899327,-1.0575181,-0.77026147,-0.09832354,-0.22492863
Subject_28,-0.033002116,-0.40718308,-1.2043867,-1.3959702,-1.2091155,0.75524694,-0.5711173,1.3276387,0.60060155,0.58818316,-0.8687867,-0.79838645,0.7165707,-1.1101344,0.14684069,0.7965782,0.024222748,-0.5722003,0.82411337,1.3704624
Subject_29,-1.9279755,-0.5799765,0.8248256,-0.4553277,-1.1390004,-0.10345878,-1.3544418,-1.5413167,-0.74062693,-0.51508075,0.62013566,0.8417158,0.34513184,-0.19816728,-0.94321984,-0.75202006,-0.3627451,-1.3183455,0.53640056,0.2775334
Subject_30,0.3492535,-1.2248636,-1.2753298,0.22420293,0.47566992,0.28757316,0.420101,0.66946197,-0.85805273,-0.46001488,0.76620954,-0.49657142,-1.1164445,-0.80894804,1.2216676,-0.67547405,1.0341274,1.5882176,0.82370937,-0.46485063
Subject_31,0.8265326,-0.6386995,1.314512,1.8836873,-1.3373799,0.5469645,1.1391464,-0.55965954,-0.8329173,-2.4002085,0.986938,0.777554,0.03781988,-0.39916542,-0.83171016,-1.1115024,-1.0408107,-0.8569717,-0.3340285,-1.3334668
Subject_32,-0.52161807,-0.33219117,-1.2420572,0.3709084,0.93868905,0.7269951,0.42100942,0.6374597,0.92879415,0.63642526,0.9356877,-0.8889664,0.24426442,0.7900903,0.7521732,-0.7385724,1.0128707,-1.0641694,-0.83009404,0.861854
Subject_33,1.1742065,-0.52433896,-1.8537635,-1.0904845,0.74412745,0.9210063,-0.3179117,1.3293751,-0.64193654,1.2181302,-0.3020983,-0.06541118,-0.66784626,-0.26094577,1.0900061,1.0835516,1.8658261,-0.28129628,1.4166222,1.7614727
Subject_34,-0.7703254,0.5939844,0.61773235,0.761357,-1.1486657,-0.5639422,-0.89971805,-0.5686702,-1.4496495,0.41753438,0.7552912,1.4723943,0.43061727,0.69041795,-0.17139396,0.007743598,0.6022752,-1.4753178,-0.13891639,-0.640922
Subject_35,0.41028047,0.85388273,-0.025171889,0.13342974,1.3583624,-0.12815161,0.7152417,0.30746362,-0.8648042,0.49404585,-1.1114521,-0.3404229,-0.503108,0.11818387,0.55308163,0.4947066,-1.9108557,0.9941492,0.74217236,0.61018455
Subject_36,0.723866,0.36895218,0.66489565,-0.32276917,0.68562424,0.6486284,-0.54050905,-0.3213804,-0.72576493,0.5285014,0.6462725,0.77338356,-0.037572388,0.7553907,0.5036102,1.4324267,0.53099114,0.023405375,0.27574453,0.62930524
Subject_37,1.1195596,2.42511,0.21120638,-0.022706863,1.4603729,-0.4467875,-0.7004936,0.01811099,-0.8073433,0.7500206,-1.142719,-1.5446087,-0.96669894,-0.26060778,-1.0694089,0.6089213,0.015811803,1.0521126,-1.8516066,-0.67753154
Subject_38,-0.669459,-1.7143613,0.74501354,1.0712847,0.04636438,-2.0586789,-0.7498867,-1.7478272,0.655973,-0.9782218,1.1357727,-1.3145787,-1.1379719,-0.018138014,-1.1619288,-1.3545803,-0.51179844,1.2047747,-1.0125512,-1.0300905
Subject_39,0.50619787,-0.5674218,-0.7114965,-0.56246895,0.18668039,1.0003198,-0.52955014,1.2729839,0.89265066,0.4060105,-0.8074643,-0.8807323,0.036224984,-0.42168495,0.47779498,-0.53116006,-1.0713549,-1.258969,0.7639654,0.9078239
Subject_40,-0.24024998,1.1795381,-0.4658027,-0.8129009,1.1810192,0.074604556,-0.2860463,-0.6215149,0.33223078,0.32453662,-0.25878024,0.5308002,0.7037762,-0.22842391,0.15075152,1.4720438,0.926624,-0.47157475,-0.046048034,0.091618076
Subject_41,0.6881259,0.560917,1.1607171,-0.5624982,-1.0643191,-0.3804109,0.8956678,-0.63822293,0.62675905,-1.2222365,-1.1802516,-0.24961264,1.2665097,0.03881468,-0.6542738,-1.5175568,0.6157029,0.11424277,0.05700578,-2.053981
Subject_42,-1.0773234,-1.4031278,0.36184266,0.20230557,0.045290746,-0.47498974,0.23940405,-0.51633555,-0.98866975,-0.31021315,-0.68704236,1.1146086,-0.55369073,1.7585764,0.1516838,0.964605,1.4550225,0.61435634,-0.8108282,-0.4951344
Subject_43,0.69308573,-0.04653888,-0.697687,1.4635364,0.57805824,0.46539193,0.16358073,0.7917421,0.6160904,-0.818218,-0.77755916,0.21814214,1.0067698,-0.20248513,-0.65654594,1.0261686,1.0452276,-1.1824564,0.9713312,0.27213922
Subject_44,-2.5439243,0.8646569,1.4725826,1.5447143,-0.49888378,0.44133067,1.374411,-0.99027234,0.20547742,-0.25006452,0.17536943,1.226768,-0.85183674,1.199404,-0.57200706,1.335766,-0.22240083,0.23661415,-1.3524368,-0.72292614
Subject_45,0.687472,1.756849,0.28802297,-0.3154409,-0.47986254,-0.67136663,0.7494349,-0.66723824,0.61801857,0.59560496,-0.2208271,0.9251327,-0.1122639,-0.7940648,-0.39916462,0.5045282,0.49557853,-0.68533987,0.4685912,0.022100529
Subject_46,-0.654266,-0.44992197,0.9462784,-0.4576159,0.41613618,1.0940663,-0.16511312,-0.07413618,-0.37563562,0.9989791,-0.21018599,0.28497133,-0.45939273,0.60238016,0.37514085,2.1759257,-2.0368516,0.87781584,-0.29041293,0.9201591
Subject_47,0.8326038,0.2781423,0.23678842,-0.46701592,0.42254654,0.73973,0.73303354,-0.41201064,0.69638073,1.4350581,-0.09582005,-0.028309403,0.56126106,-0.46020392,0.58219254,0.46144584,-0.35180414,-0.6717301,-1.2640983,-0.5396329
Subject_48,-1.5536151,-0.8670003,-0.67742044,0.29318222,0.5347802,-0.87197745,-0.99529725,-0.86315215,-0.75134,0.3249278,-0.3730627,-0.78498465,0.5729704,-0.4243116,0.72725964,0.81439346,0.8495551,1.752164,-1.3422977,0.28293353
Subject_49,-1.0476828,-0.3557321,0.9954788,0.7548483,-1.0446272,-1.8426006,-0.52371085,-0.22913481,-1.0457754,-0.9396615,-0.07031262,0.8760133,-0.14351912,0.4273628,-1.5228592,0.65171784,-0.71331793,0.42693633,-1.1268483,-0.60477185
Subject_50,0.9032379,-0.79710495,-1.267357,-0.14301018,0.38933912,1.7446084,-0.92384845,1.309897,0.8043813,1.1093773,0.9086656,-0.8740101,0.72576135,-0.737802,0.9720786,-1.2399764,0.17795274,-0.98990184,0.16996142,0.7745482
Subject_51,0.5905851,-0.35709947,-0.76961255,0.58699113,0.79026306,1.0717643,1.3714619,1.3447338,0.9263908,0.4565981,0.4359336,-0.9318233,0.61210454,0.86346924,-0.1963164,0.50858045,1.0337104,-1.6255777,0.8277212,1.1061308
Subject_52,0.76341575,0.2964443,-1.4062067,0.4555353,0.4088551,-0.30160353,-1.1470537,0.7590605,1.235737,-0.2870762,0.48049638,-0.94225764,-0.67506707,-0.771788,1.0049454,-0.827961,1.2467595,-0.9902544,1.3636352,0.4327375
Subject_53,-1.4373622,1.6003706,0.77774006,0.67221737,-1.0363151,-0.023689147,-1.1533378,-0.70833176,0.80904764,-1.2090933,0.5427586,0.3968492,-0.10337105,0.7704422,1.0430263,0.18556014,-1.2429174,-1.2101395,1.2311965,-0.4421216
Subject_54,1.0026317,1.5932385,0.7876803,-2.091298,0.73740953,-1.8794165,0.49903858,-1.1969779,0.21668011,0.63692385,-1.260103,0.97083104,0.6092969,-0.17197995,-1.0603122,0.76440626,-0.5760946,0.7861851,-0.52118605,-0.015206497
Subject_55,0.035934404,-1.0499084,-0.22855327,-0.44192213,-1.6577231,0.3797859,-0.39459428,0.2291381,0.9686707,0.44984928,0.9625734,-0.1863634,-0.06889445,-0.7542221,-0.06263815,-1.2800992,-0.9609473,-0.29578412,-0.9186998,0.036278
Subject_56,0.89992595,0.67898846,-0.4262683,1.2162538,0.99601114,1.0947392,0.7582379,1.4084162,-0.5179775,-1.0303493,0.3064173,-1.2703937,0.8421527,-1.292085,-0.521116,0.02154943,-0.11661933,0.88586545,1.1242528,-1.5782661
Subject_57,0.511358,-0.58412725,1.2931262,0.5384738,0.7507715,-1.1945084,0.58220834,0.41413292,-0.32103541,-1.5161908,-0.2778364,0.06705132,-1.2072644,-0.26122493,-0.9797963,0.96760184,-1.1364774,0.8372191,-0.16919138,-1.2494439
