Subject_ID,Factor_1,Factor_2,Factor_3
Subject_1,1.1035573,-0.52279747,1.125865
Subject_2,0.03352765,-0.9182526,-1.258394
Subject_3,-0.08271946,-0.20460846,-0.24190715
Subject_4,0.44593292,-1.1053625,0.018615136
Subject_5,-0.0038650534,-0.4245423,0.42834574
Subject_6,1.7329607,0.45520163,0.6975676
Subject_7,-0.05127443,-0.19078723,-1.2714968
Subject_8,1.0352933,-0.1761419,-0.42214894
Subject_9,-1.0201297,-1.8559046,0.09468975
Subject_10,-0.3416184,-1.5274138,0.45041943
Subject_11,0.17166033,-0.094411716,-0.4929762
Subject_12,0.61789143,1.334135,1.0151052
Subject_13,-0.1943551,-1.6867051,-0.05805566
Subject_14,0.05037254,0.8227761,-0.77263916
Subject_15,-1.689275,0.5217738,-0.13643292
Subject_16,-0.44648102,0.3453512,0.8137727
Subject_17,-1.1560646,0.9104712,0.68315613
Subject_18,-0.50131637,2.052319,1.359888
Subject_19,-0.0036401101,1.3585832,0.4562305
Subject_20,-0.3428239,-1.4017673,-0.09805796
Subject_21,0.16426405,0.91170007,-0.41667363
Subject_22,-0.2636961,-1.322021,-0.16879581
Subject_23,0.903337,1.2916166,0.5409124
Subject_24,1.0846497,-1.9779989,-0.075929254
Subject_25,0.9601347,-1.8680925,0.9507994
Subject_26,0.15607218,0.4390029,0.41524154
Subject_27,-1.4656452,-0.6759307,0.8055264
Subject_28,0.5519133,2.1248019,-0.6524168
Subject_29,-0.5220221,-0.7985121,-0.4284655
Subject_30,-0.87655187,-1.606831,0.32096323
Subject_31,0.44291183,-1.2629586,0.74421674
Subject_32,0.08030948,0.7062343,0.71280944
Subject_33,-0.018709978,0.6231945,-0.35144898
Subject_34,-0.23573957,0.84864587,0.24599117
Subject_35,-0.18161894,0.7025209,-1.1172067
Subject_36,0.6434444,-1.9767957,-0.040250607
Subject_37,0.28127727,-0.7586251,-0.5510626
Subject_38,-0.060354374,-1.23083,0.68491185
Subject_39,-2.1239812,-0.9352987,-0.85349345
Subject_40,-1.4780933,-0.6352839,0.52064973
Subject_41,-0.46517166,-1.0597228,0.17515299
Subject_42,-0.19877219,-0.4030016,-0.41593376
Subject_43,-1.0556854,-1.4457519,-0.9767355
Subject_44,0.00795865,0.86318564,0.44016004
Subject_45,0.35121024,-0.6445727,1.1105385
Subject_46,-0.24397695,-1.4732752,-0.8549409
Subject_47,-0.5318028,0.8762716,-0.012091994
Subject_48,-1.0654374,-1.9216337,0.36035848
Subject_49,-0.1002668,-0.6387582,-0.31812733
Subject_50,-0.89930665,1.5194927,1.1226788
Subject_51,-0.19378895,-1.2183087,0.4429879
Subject_52,0.6565819,-1.1260164,0.47508186
Subject_53,0.38586885,1.1312451,-0.4063573
Subject_54,1.451213,1.2434044,0.2119103
Subject_55,-0.35032904,-1.3077326,0.29363084
Subject_56,-0.34563655,0.6280555,-0.1631005
Subject_57,-0.5332792,1.1904109,-0.45378217
Subject_58,0.17716,-2.3408883,0.50003403
Subject_59,1.7998763,1.4817908,-1.5390866
Subject_60,-0.11372467,0.3749737,-1.2149056
Subject_61,0.19307221,-0.5991559,-0.100196056
Subject_62,1.6351283,1.4316441,-0.29965413
Subject_63,0.08425798,0.47075298,-1.149406
Subject_64,-0.55326104,-1.025489,-0.41212332
Subject_65,0.5281201,1.3909363,0.9822557
Subject_66,-0.5059375,0.4373939,0.14707413
Subject_67,-0.43700054,-0.29222038,-0.08594738
Subject_68,0.97704774,1.3974913,0.58619463
Subject_69,0.3495505,2.4021592,1.1194962
Subject_70,-0.40609452,-0.42062253,0.53520125
Subject_71,0.9673798,0.11801737,-0.8036401
Subject_72,-0.9357711,-0.7641767,1.0460811
Subject_73,0.7511428,0.5512654,0.36001706
Subject_74,-0.013373561,-0.5880167,0.16604897
Subject_75,0.36862138,-0.69039077,0.6604224
Subject_76,-0.24395664,-0.9174567,-0.28919616
Subject_77,-0.10479678,-1.1010053,-0.3309524
Subject_78,-0.82094896,0.7613998,-1.7463847
Subject_79,-1.0720719,1.7870567,-0.33329895
Subject_80,0.8676766,-1.5544083,-0.22932732
Subject_81,0.5635156,0.93254334,-0.39745566
Subject_82,0.28808543,1.9855237,-0.5441277
Subject_83,-0.8753797,1.0999175,-0.6672935
Subject_84,0.79883903,-0.72667766,0.393757
Subject_85,-0.42224896,-1.5365506,0.013176771
Subject_86,0.6450382,0.64336574,0.19884239
