Patient ID,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9
Subject_0,-568.9858,-625.7587,228.86015,290.29657,91.23566,-310.54807,-111.01241,481.38065,258.59235,164.2765
Subject_1,1494.6747,-558.9158,620.1066,-57.38521,151.17946,401.55246,-277.33676,-181.879,119.70864,-285.44232
Subject_2,-522.0494,-338.4115,-146.45793,257.51852,18.508726,-194.14401,-118.02577,258.01596,21.647326,111.68826
Subject_3,-766.2077,-10.677775,-518.15045,-288.43494,-361.07016,-186.66885,145.36366,11.335927,-125.787964,335.35587
Subject_4,716.70184,381.04977,-860.188,285.64957,353.95773,-286.10968,-532.8779,-312.83676,-60.149075,216.19287
Subject_5,844.8002,-436.13034,230.5941,268.6429,-437.72,197.67853,164.95096,528.5443,388.2345,13.910822
Subject_6,1449.6385,-113.603035,-594.7172,-282.48245,-597.4858,202.6755,148.15236,-31.497446,105.57642,-88.412865
Subject_7,452.322,357.213,-9.34818,329.98608,41.019867,-79.17445,614.11743,122.47331,217.2956,34.402042
Subject_8,2.5488098,578.2776,388.34323,-966.8137,-257.42752,201.53851,-481.27765,-61.8131,-460.4051,-20.363623
Subject_9,778.49176,214.68875,-940.2078,16.632727,65.224266,-228.59235,85.256676,120.06201,-236.42113,25.422716
Subject_10,1098.5776,-350.5507,650.6095,-27.063377,1173.4915,22.0331,291.8232,-246.71997,227.91408,-224.03453
Subject_11,-179.7575,986.3486,-181.2927,-14.245986,197.76651,-415.33383,-65.82365,-251.31363,30.485497,-35.505898
Subject_12,980.9883,332.08038,357.2771,156.48648,-616.9548,420.5252,-352.49707,383.36188,-351.7079,-248.13754
Subject_13,-1873.8232,70.394295,196.69603,-352.41177,-113.34432,-118.3872,-81.35008,25.632128,469.05975,330.459
Subject_14,-460.97205,-230.8709,-324.27847,-58.51995,226.60318,48.0213,314.8148,134.25029,-31.345306,-111.0677
Subject_15,2056.0935,-61.11467,-74.59762,588.4752,-308.37048,406.07724,115.73571,334.04367,102.33917,-147.35211
Subject_16,-131.44264,-250.63693,-141.77873,-224.06705,485.4915,604.3184,447.858,-84.879486,24.001945,28.79264
Subject_17,-1660.3582,-523.9335,-108.70455,-65.36099,293.34286,-81.627815,-332.04538,134.25175,-281.9953,189.41664
Subject_18,-55.407375,254.47232,184.3843,90.94892,26.829296,158.69948,-7.210514,-135.10194,-237.53235,-306.77426
Subject_19,1424.0955,1100.3975,211.26546,-304.7975,-256.5124,-32.56725,-68.988754,249.53218,90.79542,287.04874
Subject_20,258.14764,0.29077625,162.38557,-177.14697,471.8174,-200.70125,-88.63276,-304.48212,-280.3761,20.371792
Subject_21,-1360.8726,38.1817,-306.8411,-380.45865,296.56784,-236.8607,-208.27492,-117.309685,380.48453,-44.794796
Subject_22,-366.1821,53.465527,-125.12937,103.65198,627.89844,-356.76602,273.455,76.557884,-432.08444,-127.39807
Subject_23,-254.04526,-32.11393,439.78806,-239.07727,-319.42047,140.13576,-162.94223,-128.33432,303.54843,-10.190034
Subject_24,62.704205,113.291885,166.6849,145.52576,182.35695,-425.6804,-42.466045,-422.0584,-362.27704,-465.27786
Subject_25,-1135.764,82.5975,-194.54718,-293.2112,290.98245,-192.34296,-434.9534,695.6372,-278.69186,-19.911415
Subject_26,-674.82104,-327.55606,-298.49496,586.6824,-596.3121,-126.61558,236.45523,16.96327,-276.96564,-422.21924
Subject_27,350.377,-201.21796,117.451965,93.96434,-311.89496,-232.15675,-167.1446,-213.23218,-56.627583,-112.74224
Subject_28,-1300.4498,-77.46124,135.02121,124.537476,423.7513,66.694595,242.33086,-198.34773,229.75008,39.86491
Subject_29,517.51587,-632.5244,39.25554,-74.67089,283.1553,194.72636,-446.3555,-447.44064,16.318731,-52.73412
Subject_30,-754.721,-61.221695,-267.8704,-254.79507,174.73709,118.251976,4.7511554,300.34616,-623.36017,-51.726105
Subject_31,1430.4148,689.76013,-1108.6481,-526.9574,52.288734,118.67436,24.091291,-216.20078,149.49901,-54.927975
Subject_32,-1350.0642,-214.53384,-232.33415,160.0578,-653.0072,-13.447597,-430.94186,320.7967,229.56834,57.40542
Subject_33,-1874.2886,-839.2831,-68.58198,503.74475,214.03003,138.75443,605.2259,-26.07745,14.6126795,-206.76823
Subject_34,994.8749,-843.4222,-201.98242,253.72635,33.667442,222.55585,41.300255,-312.1456,-122.17665,83.86988
Subject_35,570.0632,853.8161,46.656925,693.8086,361.96295,-1073.7262,211.18793,22.22824,58.320683,98.59156
Subject_36,-142.29942,-346.7419,33.0744,274.91983,-457.47455,-160.22038,263.31543,-140.74173,-26.843697,-69.548485
Subject_37,287.0677,744.9345,974.6981,-142.51154,282.2664,117.05675,352.91684,780.10175,-104.30474,-499.81235
Subject_38,1003.1679,406.83557,356.33255,-643.0328,23.317232,204.95062,-643.4784,-104.691055,22.489132,-33.004593
Subject_39,-880.4023,442.7436,-281.08444,167.35435,71.41444,-451.61703,-19.871838,-19.702887,420.3557,113.68715
