Patient ID,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19
Subject_0,0.98735625,1.2587614,1.0051044,0.88040197,0.4469589,0.44474643,-0.55160576,1.5412623,0.74960816,-0.5586461,0.051796813,0.62764436,-0.88881624,-1.1603264,-1.2594321,1.2984048,-0.7543256,1.3851931,-1.0084516,-0.4771864
Subject_1,-0.3298039,0.3024785,-0.34326395,-0.5360949,1.5877246,-0.98575705,0.4513702,-1.0063398,-1.1985188,-0.26443353,0.8977425,-1.2983525,-0.6898284,-0.531975,-1.0763346,1.499876,1.1797236,-1.9841762,0.1280549,-0.65034467
Subject_2,0.62826824,-0.8513363,-0.61157775,-0.5305474,-0.5591198,0.9342665,0.8052654,0.14908086,0.7654396,1.1543478,0.72294176,0.87340575,0.61145186,-0.9515069,-0.48261636,0.78537583,-0.31516954,1.0609609,-0.89552706,-0.354092
Subject_3,0.4327879,-0.5520365,1.1141528,0.703061,-1.2646861,-0.6284123,0.40815473,0.49521104,1.342786,0.2801447,0.23689793,-0.70347244,-0.2946787,-0.631983,1.1157638,-0.37118548,-0.6997031,0.44284454,-0.34292543,-0.9802833
Subject_4,-0.22418125,0.52347654,-0.58754134,-0.7920107,-1.118588,0.46074766,0.49024722,-2.3856828,0.43477622,-1.1072831,-0.33701622,0.74822766,1.5795821,0.6571265,-1.0541321,-0.7434258,0.9690468,-0.54008293,0.31496894,-0.63796026
Subject_5,-0.3610552,0.53988445,-0.9813762,-0.50501114,1.1751338,-1.1963483,0.04145944,0.6455521,0.30493048,-0.6549465,0.9506497,-0.30753443,1.013631,-0.80544025,-0.4390437,2.0942895,-1.4021491,-0.31843784,1.4584048,0.34040534
Subject_6,-1.7411656,0.8392046,0.012466531,-0.46698433,0.94106084,-1.202414,1.9641273,-0.7896296,0.88080734,1.100543,0.68840593,-0.38614792,1.3941181,0.89425254,-0.06122237,0.7606271,-0.0034879944,-0.7098271,1.6263882,1.000366
Subject_7,0.6639873,0.7580387,-0.77214575,1.0121026,0.44890663,0.11117879,0.69021887,0.06032489,-0.027751522,-1.599232,-0.7870168,-1.259681,-1.1398365,-0.85995567,0.85025364,0.48946875,0.6824783,1.1619809,-0.30352736,0.89042395
Subject_8,-0.95195574,-1.166177,1.2140902,0.35793805,0.68520933,0.98961896,0.27934197,0.32791525,-0.6319501,0.7837222,-0.46554205,-0.58690643,-0.51637256,0.4233212,-0.7651251,-0.88063204,-0.03220026,-1.4173915,1.4317003,-1.1042844
Subject_9,-1.6203972,1.0283402,-0.36884198,0.5054188,-0.8359306,0.5960872,0.708889,-0.79757273,1.0674165,0.6225815,-1.4189477,-0.6669429,0.7162478,0.93911,0.45003203,0.27286902,0.88366437,0.97720575,0.7994448,-0.41432384
Subject_10,0.2061309,1.1687645,-1.0211719,-1.2717476,1.5441986,0.32327473,0.37982672,-0.2417083,-1.7407734,0.43605176,-0.30977434,-0.36839327,0.5509526,0.4354792,0.5571322,-0.6117665,-1.0389541,-1.155003,-0.5213094,0.30064118
Subject_11,-0.3013232,-0.85663587,-0.41090196,-0.8829384,-0.49544257,1.2997447,-0.9389543,-0.92089796,-0.21708564,-1.3662134,-1.7272756,-0.17197429,0.74652994,-0.052454066,0.82559085,-0.9984335,0.45209867,-0.7068842,-0.49710992,-0.9270466
Subject_12,-1.0573455,-0.37791708,-0.84080285,1.6301857,0.6346264,0.07129321,0.95655596,0.10531599,-0.6361053,-0.31923893,-0.6038389,1.7868246,-0.7654764,-0.5182551,-1.614694,0.9849918,0.14851093,-0.9467961,2.1829972,1.92616
Subject_13,1.5465964,-1.1698996,1.1921163,0.15306495,-0.11085887,-0.714158,-0.98480374,0.9246379,0.66727644,0.4141519,0.87031543,1.0053995,0.47206938,-1.2959803,1.2314374,-1.0004945,-0.6591987,0.84326124,-1.1621423,-1.3724861
Subject_14,-1.0685486,0.83287823,-0.6931015,0.18244861,-0.6986619,-0.56690633,-1.1403418,0.8136612,0.18842345,-0.9594471,-0.42432022,-1.0926546,-0.47069234,0.20267422,0.8608463,-0.44232905,-0.96961826,0.62575597,-0.7474559,0.7833063
Subject_15,-1.2598356,1.1294178,-1.3374909,0.57927114,1.3274014,-1.0498089,1.4895473,-0.82168907,-0.41053393,-1.2194803,-0.75483215,-0.86232305,0.92312217,-0.7870158,-1.3059373,2.2096608,0.7594544,-0.8033633,1.2301136,1.1835705
Subject_16,-0.31141227,0.8234001,-0.40273196,-0.7981243,-0.5095085,0.5903265,-0.50390166,0.46042007,-1.2683758,-0.43928587,0.70067954,-1.6831703,0.29697418,-0.6566909,0.7996864,-0.8213593,0.98566914,1.0116106,0.662028,0.10572915
Subject_17,1.0094527,0.8900627,1.1464674,1.0959595,-1.2898684,1.837048,-1.692,0.6177781,0.59922576,0.55841327,0.815978,0.81267107,0.5342973,-0.74520105,0.042730954,-0.8271923,0.7245393,0.85724854,-0.67524374,-0.7816391
Subject_18,-0.59034806,-0.7843024,-1.1980437,-0.23234716,-0.29739675,0.9294614,-0.40607893,-0.03865821,-0.9125343,1.1368992,-0.77835464,-0.6556884,-0.85772747,0.7102206,-0.18021663,-0.3250001,0.6647528,-0.43507642,-0.21170701,0.5349981
Subject_19,-0.9172388,-0.6986967,-0.433953,-0.8136869,1.2297909,-0.99176514,1.3898104,-0.8340809,-0.5419748,-1.2539254,-1.3947508,1.0110186,0.2487664,-0.1952698,1.1911383,0.40581405,0.8817625,-0.904562,1.8093804,-0.7270498
Subject_20,-0.664505,-0.28940332,-0.8254656,-0.9361623,-0.55268395,0.7174751,0.32845977,-0.24188478,-1.0970368,1.106229,-0.6190165,0.8436293,-0.30187434,1.0069247,-0.6112461,-0.73506635,0.9437162,-0.55660295,-0.44879693,-0.6936685
Subject_21,-0.47507003,-1.196097,0.9780223,-1.2343415,-0.23692812,-0.48513827,-1.3812178,0.78727317,1.2226733,0.5904403,0.47208866,0.6571642,0.487466,-0.47884583,1.2227952,-1.0748519,0.23357914,1.1772841,-1.4154925,-1.0466355
Subject_22,-0.45012462,-0.24407007,-1.0311058,-0.8476884,-1.1071259,1.2787566,-0.6096972,0.6075865,-0.058895513,0.87229013,-1.1110857,-0.75949734,-1.082628,-0.18406856,0.49108756,-1.05142,-0.76335907,0.78787166,-1.2214153,0.064764425
Subject_23,0.5730121,-0.31111667,0.66333294,-0.1676107,0.5646031,-0.7587521,-0.85244894,0.19998093,-0.9095324,-0.9851289,-0.7313068,-0.25408983,-0.5961135,-0.43909916,0.78702116,0.59916466,0.06034386,-0.9652236,-0.2711235,-0.16462462
Subject_24,-0.45377162,0.7501852,-0.41804165,-1.2167917,-0.84802204,0.67503554,-0.6960793,-0.78525203,0.64800316,0.95283926,-1.2497436,-0.55913466,-0.92701954,1.0700849,-0.90283674,-0.5392238,1.3238693,-0.6104032,-0.7394319,0.5400571
Subject_25,0.41450953,-0.75489676,0.6271285,1.5003611,-0.50304633,1.5781931,-1.0675547,-0.8552925,1.2977074,0.95541406,0.83751076,1.6699989,-1.0198598,-1.3081037,0.558895,-1.0364345,-0.87517107,0.7091405,0.31905177,-0.53772956
Subject_26,0.28378886,0.693645,-0.6542838,1.6245866,-1.3293433,0.54421294,-0.5094464,1.1221114,1.0708718,-0.2914878,0.11187645,-1.404996,-1.0744483,1.1495299,1.1850288,1.0563053,-0.8084765,0.8726721,-1.2904385,1.4821839
Subject_27,0.35832033,0.66123205,0.9791298,-0.7233036,0.78562146,-0.22746414,-0.5691349,-0.4371165,0.697833,0.5996684,-0.6888983,0.32456365,1.0896561,0.92535067,-0.9090123,0.6669293,-0.35713118,-1.298743,0.27913514,0.8588079
Subject_28,0.7737916,-0.5838303,-0.9527169,-1.1534264,-0.2830508,0.6462058,-1.1274335,1.3592454,0.7153951,-0.042539403,-0.039898545,-0.47732857,0.6642793,-0.78074956,0.1488355,-1.1719977,1.0209095,1.135375,-1.6289936,0.46021917
Subject_29,-0.48782557,1.1750411,0.8229375,-0.39870867,0.9423738,-1.1702747,0.55356145,0.2659376,-0.23371585,1.1199567,0.76865935,-0.45490834,1.0311817,0.83223987,-1.5157437,-0.42134345,1.1102589,-1.5010576,-0.41898993,-0.63878906
Subject_30,-0.7231177,0.95324856,0.6736218,1.2102729,-1.199969,1.6597313,-0.63237727,0.70107394,0.4830815,-0.68076473,-0.028529938,-1.3862448,0.49445772,-0.110038966,0.7715711,-1.1025703,-0.4608491,0.44611064,0.2565488,-0.7273229
Subject_31,-2.1161919,0.69694686,0.95123875,-0.33032706,0.67471355,-1.2316092,0.9105284,-1.7109693,0.72871804,-0.98602295,-0.39987934,-0.3967971,0.9936603,0.72432464,0.7442711,-0.549649,1.1295817,-0.46367154,1.4676837,-1.1318061
Subject_32,0.72902566,-1.0097286,0.9739426,0.71989065,-0.8870755,0.89692414,-1.0911086,-0.47420517,0.55031145,-0.40540314,1.446036,1.1905231,0.55644685,-0.9085687,-0.26001105,1.3871077,-1.004115,0.8007122,-0.7985465,-0.8589243
Subject_33,0.98206085,0.9830784,-0.786225,1.3437073,-1.0977187,1.3852004,-1.5269626,1.6317177,1.000424,-0.39083442,1.3391904,-0.883417,0.4063922,-0.11911299,1.0418365,-0.3879993,-0.6308654,1.3447086,-2.1860316,1.381213
