Patient ID,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21,Factor_22,Factor_23,Factor_24,Factor_25,Factor_26,Factor_27,Factor_28,Factor_29,Factor_30,Factor_31,Factor_32,Factor_33,Factor_34,Factor_35,Factor_36,Factor_37,Factor_38,Factor_39,Factor_40,Factor_41,Factor_42,Factor_43,Factor_44,Factor_45,Factor_46,Factor_47,Factor_48,Factor_49
Subject_0,0.67090434,0.8239304,-1.2237188,-0.34125438,-0.32144403,-0.77739686,-1.0053506,-1.5014181,0.9523938,-0.6249186,2.240351,1.0900652,0.6830282,0.034734115,0.21307427,-0.24706562,-0.5932851,-0.60093105,0.68058944,0.6978171,1.324785,-0.71746933,-0.35555333,-0.94916004,1.2721338,0.2586162,-0.9666208,0.6351224,0.37576273,1.0771071,0.70653284,-1.5743264,-0.8948736,0.7891315,0.37739018,-1.164069,0.33646512,-0.5679077,-0.8191452,0.8239832,0.117978714,-0.43091813,0.67667586,-1.2298625,0.82879376,0.7247906,1.0348163,-0.31584203,-0.3787932,1.3635807
Subject_1,-1.6067827,0.743651,1.5725986,-0.031171296,-0.056647472,1.178607,0.62720823,0.57771045,1.2752192,-0.2789469,-0.29508406,0.34641048,0.39041775,1.3778396,1.93023,-0.24981223,-0.18026024,0.74947405,1.726587,0.29017505,0.28022495,0.9163216,0.34618473,-0.16810668,-0.46124855,-0.27298754,0.38815564,-1.5152558,1.3406314,-1.0839103,-2.1059763,-1.961015,0.5158685,-0.23810993,1.1105639,0.607936,-0.3648685,-1.0154823,0.67817223,0.39346334,0.24600112,-0.7146267,-1.0925974,0.16056703,0.6004575,-0.39762792,-2.4613235,1.4878321,-0.005339258,-0.59587187
Subject_2,-1.5165724,0.21735093,-0.30776086,1.0770336,1.3003271,-0.6093739,-1.0617596,-0.35183978,-0.271729,-0.7679439,0.96313995,0.5871712,-0.4245169,-0.32997775,-0.40564278,1.0828053,0.92268205,-0.8913331,0.505597,-0.8677619,1.2402321,0.82417655,-0.08465525,1.3522878,0.4882505,-0.21605425,-0.093934715,-0.75146455,-0.10651656,-0.49141952,0.5255109,-0.71068615,-0.37888023,0.4562507,0.13124865,1.0860733,0.34182638,0.24757297,-1.0703722,0.6041166,0.35225785,-0.40555602,-0.8415197,-0.54082197,-0.00022047176,0.13196136,1.1049296,0.020702552,-0.61548746,-1.2934092
Subject_3,0.24104041,-1.1983441,0.28843924,-0.88258076,0.23926023,-1.3395218,0.1444138,-0.28660187,-0.019148724,0.1797012,0.74843484,1.3972522,0.6201221,-1.0441004,-1.7911558,0.8753266,-0.12047049,-0.21816634,-0.07996967,0.49524447,0.7128502,-0.9884067,-0.90271115,-1.7085102,1.180336,-0.115588084,0.48536542,-0.5988718,-0.62327087,0.5008247,0.4840835,0.4029424,0.016158571,0.2619426,-0.30471936,0.7800537,-0.22043887,-0.61254084,0.19345412,0.53040314,-0.5902045,-0.04224399,-0.76450604,-0.73656,0.5781174,-0.62747353,0.03543353,-1.0851218,0.93590206,-0.3311597
Subject_4,-1.811741,0.66491276,0.16913481,-0.22386238,-1.2307853,-0.64040697,-0.11304701,2.0265625,-0.074652635,-0.44842184,-0.99037385,-1.6245476,-0.6321309,-0.0030662087,-1.3810618,0.7731261,-1.1121174,0.8408327,1.421082,-0.09375727,-0.16657168,-0.6440739,-0.09433648,1.3680854,0.3668858,-1.0594804,-0.87596405,1.7180941,0.7880572,-0.39507824,0.042436287,0.27562544,-0.35775414,-0.1506553,-0.292606,-1.13107,-1.7259135,0.24937561,-1.1841202,-0.31351155,-0.2073595,1.0421045,1.4874809,1.4897038,-1.7251778,-0.8848124,-0.22473668,0.7513582,0.98530674,0.02387023
Subject_5,0.0034319393,0.2909355,1.150952,-0.30615473,1.3550305,-0.2797472,0.7046505,-0.66750544,1.1378034,-0.0059901397,0.9714216,-0.9958713,-0.62052757,0.8911081,0.9599175,-1.3732003,-0.22806709,-0.9513411,0.14056335,0.7081055,1.3796513,-0.96782684,0.41073364,0.3942227,-0.5040947,-0.1934207,0.6283815,0.84279895,-0.48394862,-1.0503294,-2.4617314,-2.0102854,0.8434298,-0.27735168,0.9607288,0.109848544,0.427598,-0.86858106,-0.25525773,-1.3122373,1.4847323,1.3880793,-1.0013624,0.59811276,0.59628034,0.24515428,-0.6700078,-1.5483189,-1.5106484,1.2561774
Subject_6,-1.0271153,0.44949654,0.08422053,-0.076351985,1.2587833,-1.1068128,1.1978053,0.8037937,-0.94265586,0.8029006,-0.3601195,-0.5397041,0.6250207,-0.08794189,0.98299783,0.97511095,0.92383575,0.32409325,0.4777036,0.58366275,0.9455144,-0.07618086,0.97610056,-0.070084885,-0.84010655,-1.7420528,1.9401999,-1.356562,0.58349544,1.3062819,-1.9544172,-0.58355945,2.4243386,-1.8865703,0.8485757,1.4216962,-0.67008895,-0.33892602,0.74046856,-1.4112508,-0.9910578,1.3070364,-1.0064589,1.0830166,-0.30766156,0.6600686,-0.57454246,-0.8688472,-0.75885755,0.30655426
Subject_7,0.22126882,-0.6623987,0.1237083,0.24495237,0.18818603,0.13258027,0.15329386,0.010549057,0.7554801,0.29986593,0.7366235,-0.6718502,0.83974373,-0.75801706,0.36524898,-2.5140932,-1.5042477,-0.8936789,-0.21448366,0.6794594,0.18489039,0.33334696,0.526301,-0.28550556,-0.08572197,-0.60000414,-0.27625638,-0.8221764,0.8443232,0.45851552,0.5859838,-0.25930956,-0.26458773,0.70914406,-0.75895536,0.30490932,-0.6669596,-1.702105,0.44019833,0.40627208,0.7312737,-0.10683451,-1.5009388,0.27182186,0.84597695,-0.18310711,1.081574,0.0773602,-0.4177045,0.38934773
Subject_8,1.318892,0.49011886,-0.107588634,0.4627258,-0.23721103,0.66861695,1.6444539,0.16997996,1.5176736,-0.59871453,-0.6494088,2.2091901,0.8590261,-0.5842658,0.57251436,-0.37761936,1.2165018,-0.7448278,-0.06390767,-0.15744041,-0.5818788,0.26610187,-1.3468738,1.8060192,-0.32282716,-0.3165111,0.79371804,-1.5315826,-0.81390315,-0.9310126,0.3322331,0.44853958,0.51801956,-1.1051905,-0.7226299,0.1304838,0.4439311,1.1404648,-0.6568697,-1.1270113,-0.8534951,-0.95610076,1.088179,-0.648383,-1.0380516,-0.95337737,-1.2159688,-1.0917416,1.3479667,-1.3909818
Subject_9,-0.85851777,-0.611692,-0.995527,0.25220942,-0.5556687,-0.8411543,0.7501305,1.0508561,0.13410564,0.34311354,-0.69933015,0.9349823,-0.34214348,0.61772966,-1.0074068,-1.0763903,0.019033395,-0.48978776,1.0862008,-1.1051142,-0.48629996,1.0595576,-0.9709583,0.11007939,-0.69692856,-0.71611834,-0.7914824,0.027704928,0.9758653,0.6463265,0.7717877,-0.13855125,0.5607959,-1.8142524,-0.84872395,-0.61122966,-0.80105156,0.09458216,0.62613297,-0.7095925,1.582693,1.1087658,0.6150217,1.2481518,-0.4724581,-0.7560116,1.2303965,-0.4962021,-1.0749892,0.40609303
Subject_10,-1.1800339,0.15670641,0.78048915,0.58296734,1.4892834,2.0436075,-0.5367851,-0.42944136,0.07251223,1.4487945,-0.25508448,-1.4427954,1.6238022,-0.5221339,2.1622365,0.34471226,0.27031344,1.3438426,0.9644974,1.0995634,-1.9075906,0.43365255,0.4615201,1.454142,-0.6829374,-0.5252498,0.8635834,0.60075104,0.7759413,-0.7490738,-0.05154286,0.978042,-0.86012214,0.34140587,0.907257,-0.13359694,-1.1560469,-0.07676054,0.27032754,0.27681005,0.83202714,1.4827803,-0.7667816,0.43792504,0.66380686,0.11782556,-0.49917924,-0.21763259,0.7585691,1.4673346
Subject_11,-0.12749495,-1.1286165,-0.79559207,0.7552881,0.03617637,-0.31458703,-0.20895053,0.57809913,-1.1699675,0.6385735,-0.60745555,-1.0691086,0.61129105,-0.43390304,-0.4032937,0.5374746,-2.190443,0.86866736,0.16908698,-0.29013398,-1.1924603,-0.65055084,-0.6918125,1.0987948,-0.42240527,0.6759835,1.0331268,-0.6641517,-0.50285834,-0.9429234,1.2334466,0.6152542,-1.2190348,0.048309814,-1.2427248,0.90570134,-1.6006608,0.4430687,-1.4663848,0.71373355,0.32652768,0.25281972,1.7262256,1.2580061,-1.2363453,0.038431697,0.047570534,0.7416383,1.1590524,-0.8583586
