Patient ID,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21,Factor_22,Factor_23,Factor_24,Factor_25,Factor_26,Factor_27,Factor_28,Factor_29
Subject_0,-0.92858535,1.2557886,-0.45431983,-0.29429105,-0.51785296,-0.89477295,-1.2627865,-0.2683348,1.5725,0.45550045,-0.9198394,-0.5583806,-0.18726595,-0.92809397,0.9931841,0.60752773,0.8941078,-1.3852206,-0.41243282,-1.0985532,-1.0632237,-0.39768925,-0.097959,0.5222456,-1.0481002,-0.37414786,-2.0560563,-1.2754351,1.4558643,0.6327678
Subject_1,2.540382,0.68609905,-0.08438192,1.5001009,-0.6116689,0.6842699,0.7907858,0.25913307,-0.10156658,-0.66262954,0.13872112,-0.5570916,1.7989762,-1.6634299,0.20986882,-0.98938054,0.40948924,0.61701775,1.6615207,1.6168259,0.70372677,0.18521415,0.8598971,0.9869956,0.4824124,0.8422552,-1.6177992,0.8488787,-0.050792057,0.33407468
Subject_2,-0.7942116,-0.7952021,-0.86265665,-0.57953435,0.29897034,-0.4596398,-0.43258917,-1.5484842,1.3132521,0.27597052,-0.46710396,-0.6726759,-0.21143588,-0.6541917,0.5980846,0.103416964,0.57952625,-0.6116094,0.12445076,0.2855516,-0.7578081,0.5138264,-0.14843361,-0.7699213,0.60714686,-0.80543256,-0.42773002,0.88380665,0.40457186,-0.58373064
Subject_3,-0.31211036,-0.34946847,0.59549963,-1.571481,0.51759845,-0.9306353,-0.378716,-0.5908147,0.29164663,0.5164189,-0.427387,-0.4424151,-1.6461099,0.52965987,0.5524567,-0.17397544,0.8708652,0.22710727,0.72403616,-0.96781796,0.19342259,0.20883791,0.62282115,-0.20125102,0.37362298,0.5119046,0.8857183,-1.3243835,1.3533175,0.32404894
Subject_4,0.20328876,0.37404257,0.036420267,-1.0724727,1.837526,0.76917666,1.7109354,0.15551852,-0.73641723,0.6488951,-0.45234916,0.34515834,-0.58934146,0.8416298,-0.30389234,0.8542407,-0.86771506,2.0420046,-1.9565943,1.707511,-0.008791957,1.1323527,0.97876114,-0.16088459,-0.048080537,-0.6358797,-0.20661104,0.7689024,-0.8310435,1.024254
Subject_5,1.1874976,-0.45290563,-0.47323877,0.37893906,1.3237617,0.55516964,-0.4865357,0.861004,1.4752438,-0.66804963,0.335331,-0.78672016,1.3002719,-2.278123,-1.3165379,-1.3577307,-0.74699175,-0.53940314,-0.5760523,-1.0662119,0.6972224,-0.1569917,0.42065585,1.0663407,-1.2437272,0.6361474,-1.576568,0.13055801,0.8097641,0.19979113
Subject_6,1.0041969,0.09070275,1.1298429,-0.8054163,1.5801799,0.7227212,1.1541697,-0.69098884,1.4680387,-0.65601224,2.0506935,-1.061099,1.3555437,-0.72914106,-1.7291129,-0.93625486,0.39403385,0.94917786,0.90496457,-0.17220373,1.8359681,2.086655,-0.8444096,0.76863587,-0.7719773,1.3305973,-0.29004562,0.34779912,-0.30381018,-0.6520539
Subject_7,-1.0748154,1.2154896,0.3652142,0.3339003,-0.3880111,0.6109437,-0.5026297,1.5742584,0.58652073,-1.2741165,-0.771023,0.5028799,0.3708444,-0.47413898,0.41115004,-2.3136985,0.79649055,0.6769676,0.856266,-0.38184184,-0.327721,0.5922665,-0.67645836,0.36334023,-0.2914081,0.42534697,0.013241739,-0.27325636,1.0366715,1.9568467
Subject_8,1.0150068,-0.9207943,0.28912902,0.86134636,-1.2502338,-0.9564662,0.5274484,1.4857706,-0.6588639,0.21564743,0.98228204,0.48835856,0.18745258,0.6948713,-1.0757622,1.6972274,1.282168,-0.64861345,1.5181679,-0.9191962,1.2324481,0.4089224,1.4245353,-0.041147415,1.4741731,-0.71278787,0.6731017,-0.2555386,-1.3366913,0.46987745
Subject_9,-1.363963,0.9643411,0.9316032,-1.2870957,1.2986647,-1.5885205,1.2517204,1.0526727,-0.24957204,-0.5699243,1.841591,1.0581142,-0.37048423,-0.2714706,-0.7288085,0.6146098,0.3994282,1.2668903,-0.37599802,0.69791394,0.681979,0.68720657,-0.5459458,-1.3550662,-0.8727958,0.21509868,-0.27204132,-0.30593032,0.07999866,-0.15537971
Subject_10,0.21046802,0.3011415,-0.8435198,2.2086112,0.9771516,1.3576235,-0.71245915,-0.47049066,-1.7806096,-0.11446417,0.24709773,-0.3695025,2.0673716,0.30695006,0.34907416,-0.5032975,0.36785626,0.44376886,-0.1833028,1.0774946,-0.54761684,0.4152067,0.6481781,1.1952324,-1.1570549,0.15208884,0.58686817,1.2782108,-0.791615,-0.27485868
Subject_11,0.051563084,-0.9938663,-0.09064933,-0.46103603,0.18465203,0.12875856,0.21094607,0.8957258,-1.0137284,-0.14901198,-0.08147351,1.4912102,-0.2938503,0.90868986,0.87365997,1.3264608,-0.11155735,1.6360419,-0.3806948,0.8790254,-0.45280024,-0.59272176,0.7455631,-0.52815545,0.7178838,-1.6467689,1.1163323,0.47353566,0.57215166,2.037678
Subject_12,1.1754047,0.3143545,-0.11278451,1.275037,-1.7223812,0.39454582,1.3139931,1.267735,0.68442225,-0.99290276,0.9536712,0.23806697,0.49501732,-0.5045436,-2.5881329,1.1943923,-0.9342838,0.023263248,1.5821817,-0.5956122,0.62126184,1.1749938,-2.5060163,-0.8751752,0.27599877,0.13786878,-1.7007978,0.042164125,-0.71409893,0.96888465
Subject_13,-0.42332646,-0.7873434,-0.6628435,0.2914073,0.09054966,-1.0618097,-1.4456741,-1.2432679,1.0480927,1.4370344,-1.625939,-0.67997676,-0.65198904,0.9790694,0.8378913,0.8984374,1.1509608,-0.9346492,-0.67983717,-1.4528052,-1.4347686,-1.2638601,1.4303781,0.2969345,1.2715918,0.24207376,1.3299552,-1.2918482,1.7667447,-0.4307319
Subject_14,-0.40226206,-0.06389438,0.26722065,-0.19460277,0.44362506,0.6316122,-0.40673468,0.9919079,-0.19199671,-0.90729344,1.1661217,0.23684731,-0.86628467,0.60238576,1.089275,-0.34956786,-0.687117,-0.5289821,-0.58069366,-0.6096395,-0.51322484,-1.1732091,-0.74160594,0.78944737,-1.0430684,0.1405327,0.60615927,0.23872031,0.9364084,0.12667172
Subject_15,1.0900003,1.3606292,-0.039199103,0.81383055,0.9313657,0.60123986,1.0693308,1.5742601,1.0831323,-1.3859118,1.2215871,-0.005885534,1.8040959,-2.195194,-0.99173224,-0.031210285,-1.0667402,0.81860363,0.9108083,-0.03998447,1.1878965,1.6856185,-1.2627478,0.34763965,-1.034858,1.3622872,-1.9264448,1.3373299,0.028489498,1.2179136
