Patient ID,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21
Subject_0,-442.61554,488.5503,-214.53267,88.45574,-4.979203,234.5748,-227.2446,-132.63747,50.77479,-199.171,10.7505865,190.6592,32.48072,4.0210986,272.9045,-195.50197,-30.249315,77.43139,19.50999,-67.616135,25.482378,-72.77751
Subject_1,955.0353,526.5101,135.29616,-367.0601,-103.12419,-14.007508,0.50001216,258.61038,-54.902637,159.15468,15.160697,53.697117,177.11429,-19.798265,95.2401,-89.9557,214.28763,49.837097,47.437527,61.442883,-159.99036,61.943718
Subject_2,-347.2346,122.87498,-243.41333,93.56254,-80.31372,-4.467622,-125.12506,34.041027,92.870636,-230.08597,145.91974,-2.007004,5.566798,19.077505,-81.29704,-76.19153,82.50119,-21.296873,18.458876,61.81427,20.385664,36.318333
Subject_3,-449.0481,-240.00673,-215.6516,90.298874,221.00552,-241.17117,-102.75005,-155.0912,-114.07836,25.51863,70.755424,53.383556,185.63382,75.518456,-58.659264,-26.35209,-52.3751,51.351284,-53.124542,7.978981,-36.624817,-5.907126
Subject_4,392.48322,-489.44724,-263.15164,187.11798,-357.69467,-199.60733,243.00508,140.12573,-235.5285,-87.291405,-139.1119,91.93073,-83.48062,-113.253136,-92.49551,-40.15829,24.79964,-185.71497,-14.811097,-20.965012,-24.000801,34.372616
Subject_5,585.8668,423.5117,-275.74942,13.352161,319.42203,353.7547,-167.59303,83.3321,10.080037,-17.156271,-39.853905,129.64284,109.74979,-102.94558,132.62424,212.22908,-48.591366,-72.8801,-71.43271,-50.024986,104.70326,14.45152
Subject_6,1058.0726,-273.72614,-362.57333,-121.76402,188.25653,-3.6030805,-140.16597,-48.133385,48.428486,-109.5461,-16.529795,-239.39117,21.9517,66.54337,-141.70819,131.50423,-56.62503,21.245043,-141.54512,27.467375,-34.97023,7.7976904
Subject_7,173.50066,-62.33363,37.30404,279.5758,-20.159739,370.12628,18.509796,-236.53423,-128.53825,99.28704,50.67894,139.20874,-9.492008,-53.406857,7.068876,-138.16354,156.87552,167.70744,20.593313,32.493748,-51.600143,74.767746
Subject_8,275.83124,-225.64412,454.73074,-98.99541,332.94086,-388.04156,39.772457,130.3632,191.62541,61.410824,59.754257,-3.5195317,-19.062521,-60.08809,97.81224,-131.17418,55.94311,111.25278,-128.27646,-11.949662,43.07162,49.821663
Subject_9,436.34564,-585.5024,-366.6835,66.18604,-126.51051,-79.358284,84.45324,-121.45718,128.42303,-110.389084,114.375725,98.10909,13.806567,50.18915,52.3921,58.7723,-92.0703,44.19619,26.610754,164.53186,16.85451,23.237904
Subject_10,445.4522,235.5225,578.8077,-242.0269,-512.2178,214.96745,-68.86997,-147.96837,-46.872486,8.801746,-150.66785,28.4833,85.01451,-66.7077,-121.0766,53.060574,32.997673,-70.62535,-40.267166,-4.2120543,112.875725,42.390297
Subject_11,-136.62071,-411.75256,188.11682,279.98242,-258.15607,-146.88403,83.32168,128.58934,-72.06785,222.3353,74.11551,175.99364,-50.179604,-240.0014,33.9989,10.82455,0.2001231,12.978561,-103.47695,24.953129,-15.657783,-4.4684644
Subject_12,893.7381,198.03102,-53.259106,138.035,337.79623,104.09899,287.30124,164.00998,344.9872,-73.74549,-71.62418,-80.10958,-191.63141,-36.975353,-106.87132,-177.03705,-163.01003,-5.5853014,55.1109,-2.6692948,-97.54845,-51.163433
Subject_13,-1100.515,55.34507,236.39078,59.35655,141.25938,-87.24634,-330.50314,104.13686,-255.14725,-94.10369,14.930727,88.42251,-57.848957,44.648823,-61.930782,-30.101328,-83.421616,5.3172956,22.649937,-9.080778,0.22700308,47.880653
Subject_14,-325.92184,-149.28308,-81.082405,-191.7568,-103.566216,218.8866,-17.41177,-142.57732,90.312485,215.02298,109.67047,17.97912,74.61959,-5.151394,21.785013,35.067673,-190.40929,-33.113724,-109.782715,-70.940605,-47.68647,13.896503
Subject_15,1374.1917,207.34378,-297.9285,46.040806,31.982025,314.58005,40.68887,51.751812,78.89595,-58.249893,105.688774,60.973225,27.439777,-10.484024,-9.093048,8.291957,71.51762,66.40218,-84.438515,57.249664,-139.70312,-31.575315
Subject_16,-152.9936,-160.4776,221.08893,-473.78906,42.373158,322.48273,161.66356,-244.39905,-24.781193,22.12146,-20.109327,73.334404,-175.78673,12.404573,40.18499,115.50355,131.79913,-53.240883,83.37323,-50.667706,-77.87501,-80.84491
Subject_17,-1036.0063,25.844065,-115.83173,-188.25003,-104.750015,-44.12742,104.87514,-160.48874,92.89141,-182.08736,-229.10738,279.06583,-21.74997,-42.77897,68.74445,-70.2511,-41.002487,-39.258472,51.413727,-43.563435,-53.500675,-43.34806
Subject_18,0.2161313,-2.2226539,146.45581,-59.746468,-99.62535,-18.03646,210.50592,126.083824,203.29512,134.7378,74.06315,-60.18939,-90.62133,58.977512,-41.468132,112.857216,48.865612,-26.51447,122.98197,-48.92385,59.17534,-10.932847
Subject_19,1086.9216,-281.84113,336.74863,344.2462,214.11525,1.3828263,-11.516134,31.096375,-85.62501,44.30647,30.497284,99.10838,39.58344,-211.12527,-10.330167,-19.515299,-61.79115,41.944824,145.98894,79.43804,-24.855371,9.226052
Subject_20,56.71862,-46.46888,229.7482,-145.8504,-310.68207,-199.72093,110.13915,-49.87497,68.41926,-60.53967,129.37273,-49.33849,-18.079496,30.924925,6.046961,-78.95695,-43.10133,-19.821508,17.6094,21.314846,77.350586,86.40008
Subject_21,-926.5567,-270.32446,45.462643,-152.01013,-136.36028,-12.681232,-302.2878,67.45609,-84.4761,22.516525,157.37961,-116.62433,-25.079485,-39.97721,83.191505,-42.999996,-186.77684,-42.865303,49.72647,16.857857,-18.77682,-85.93649
Subject_22,-463.4393,-207.88286,74.7919,32.021465,-322.92453,-86.81228,76.65217,-120.83858,233.35382,-17.484398,199.09247,-21.026144,95.5654,116.44706,-77.77027,-9.662351,59.189026,-43.37452,-68.56588,5.7885437,7.2040844,75.83453
Subject_23,51.680237,271.905,187.23355,-65.620026,-6.8596406,-14.63665,-69.94661,99.6365,-101.69474,159.65862,10.275809,164.91461,-21.71251,-13.046845,-12.241689,-41.677555,-37.25214,-49.127724,-32.812504,59.776043,-12.435853,-36.656418
Subject_24,-69.860306,3.4271874,-46.11845,64.58789,-393.01334,-232.34856,144.39761,-13.8822155,106.77945,150.527,-34.709713,-137.62544,30.782156,6.4802227,187.12706,122.00098,-16.830088,-10.0312195,210.4983,-22.191828,-21.206806,41.662952
Subject_25,-719.5029,-371.76736,2.5958498,178.8458,128.80034,-63.961605,-72.20467,186.23488,270.3514,-161.5068,-212.6495,79.292465,114.05684,-8.211708,-70.39272,-140.8756,-74.02465,-52.75048,79.0667,78.00105,29.687504,87.42249
Subject_26,-462.86215,209.75153,-513.9685,43.751244,81.12485,93.50351,115.8191,-166.72046,137.41493,253.925,60.33963,-17.357565,68.35103,94.43837,-31.13312,51.798435,-49.030857,295.72394,49.249714,-17.03203,65.41332,2.808592
Subject_27,270.84225,235.02232,-160.11528,56.6522,-53.969345,-155.27654,-28.045557,37.052135,16.40304,107.50019,-147.4032,-95.32639,-47.866444,-111.05965,41.062542,48.243603,-48.477318,-4.8289104,-182.49326,90.984924,-51.283245,-72.85805
Subject_28,-936.1364,48.3754,148.74976,-85.06256,-252.02643,198.84561,-39.58014,-109.048874,-65.917305,-130.53654,80.07427,-189.88362,-67.81534,-37.602055,69.87499,12.015653,19.094036,26.296856,4.3037443,-1.817534,-118.50603,70.1992
Subject_29,344.57516,236.23053,-5.491429,-350.6087,-229.72722,-206.28366,-13.22427,14.102197,-161.75017,-121.328316,-110.11088,-203.84285,128.1653,14.763924,86.737854,6.0689673,-97.1707,72.31251,-24.217218,-120.5104,-59.0364,-65.5018
Subject_30,-475.49896,-321.5652,-70.16881,-167.24219,129.5387,-34.854774,261.2548,-178.69806,254.97572,-5.124985,-61.06303,156.84352,106.88741,-154.16489,40.624973,58.44261,36.314102,74.81148,55.443317,-138.53825,43.054447,-12.273419
Subject_31,958.966,-889.8766,-117.87479,-129.60098,-15.263697,-34.211895,-22.030987,88.13066,-176.845,120.246635,39.1556,21.68394,51.30499,-78.87433,21.000721,-4.1992,-131.0315,-18.891642,99.48436,35.41644,1.5510261,-58.875
Subject_32,-720.6024,212.2501,-409.13522,39.1027,197.26804,-47.976852,-113.24869,327.55508,40.24896,11.147947,138.19736,98.40009,-52.25782,-33.997692,-40.06442,-47.03983,-9.796629,-114.97161,90.01708,-31.02079,135.50604,-17.999363
Subject_33,-1403.9675,303.25037,-277.42883,-205.87338,-116.25286,269.45984,68.08195,-185.34497,76.685936,39.03215,-12.368771,-37.18815,19.300594,-40.414364,-78.05723,-53.000095,-51.44889,98.39579,43.654045,82.08844,-73.621735,-53.724705
Subject_34,511.46085,257.124,-260.006,-304.7459,-41.575275,-19.873772,129.55006,-150.66641,-208.48671,-12.836496,-230.14285,61.442917,-59.193108,172.40399,136.24597,29.90348,27.847416,-49.134647,18.375944,-35.821754,-13.828299,-7.027608
Subject_35,126.392624,-72.562836,52.587788,565.29224,-411.93936,-24.003483,-49.56456,-70.4571,35.49077,113.12845,46.871956,225.63972,37.708054,55.633842,20.14064,154.17902,29.338243,-56.034725,-178.09676,-20.071148,-31.363516,-11.20924
Subject_36,-59.680656,310.8209,-275.13892,99.352135,-3.7739515,-35.821075,-18.555565,-127.67661,-39.71037,127.38767,6.0445895,-47.751118,124.72488,66.937874,-178.25757,6.309548,-21.41012,14.806967,137.33641,-85.25001,35.65654,-99.17408
Subject_37,226.386,18.41155,605.5277,304.9156,101.00126,282.3422,-68.39835,38.280457,352.19064,-66.870026,-256.70578,63.04291,58.94404,259.6506,-41.822544,43.72043,-66.254715,-146.87746,40.86872,23.237732,-135.33636,-25.895441
Subject_38,836.6376,-61.040695,440.94125,-209.12659,10.420119,-284.64395,-54.898964,234.04257,121.44872,-40.249565,-29.315338,179.98805,7.1555758,-8.244828,-232.22243,74.580025,161.24806,180.97282,4.657539,-90.29543,19.81121,-53.815075
Subject_39,-623.9747,-199.25806,-95.88867,205.27733,-135.42194,65.73105,-203.00653,7.555089,-50.375103,-62.85537,120.051186,-66.143654,-89.942055,-111.278275,-17.99805,82.232,-57.146633,34.99734,29.607368,0.30462945,75.27128,-77.500015
Subject_40,-255.5385,280.69482,38.144817,10.913248,188.353,49.430874,67.37039,-64.720924,104.70245,188.0071,-62.586014,-174.33961,34.219315,-14.438641,-63.904263,-43.024986,-88.360855,-85.50066,-93.87169,-27.793037,-59.2554,89.76824
Subject_41,669.7441,-280.5002,273.9876,-162.66423,570.34076,89.767334,228.00717,-38.885445,-55.805737,-79.68853,131.37796,-0.95273,54.62497,-28.314228,159.83397,111.50006,64.49516,-32.028652,25.968946,31.684319,-17.285398,50.36789
Subject_42,494.7428,499.296,-453.50836,-133.12573,123.378815,76.32962,168.20973,-54.40479,121.8784,-115.189964,-4.331504,25.788122,12.943312,-87.96864,-8.405724,12.946888,-4.5414443,109.86419,-67.88073,81.582344,53.97762,0.9527265
Subject_43,-176.83981,-306.43475,-279.526,-253.79898,-145.919,327.63318,-33.93025,186.62717,19.448065,184.08826,20.046877,-139.76155,-31.322496,-72.31708,-106.561615,57.20808,-63.521843,-97.996864,88.768234,-22.074848,66.47855,97.087234
Subject_44,977.6201,163.02554,-393.75702,298.32034,164.49214,-112.3721,194.9866,207.84723,-32.582706,107.06401,-93.31172,-90.201385,-41.60997,-44.455444,1.6008624,-218.22595,-21.317007,12.986346,45.73781,-105.48821,45.587,82.648384
Subject_45,-49.599976,60.792206,358.0721,-29.958506,33.219376,66.5384,156.06323,-62.943737,-220.743,212.87022,-60.402264,-101.20305,-37.727055,128.49042,-47.593346,-154.7399,-42.687622,-17.407715,23.733973,-9.734022,28.45707,-14.778007
Subject_46,210.72012,250.7595,-170.87363,750.4607,-348.07205,-220.49715,-128.52913,-179.161,42.384823,23.23446,-45.28249,-170.25827,-80.42293,-110.069,-66.52354,20.093771,6.594711,39.273396,-16.266825,-44.685192,-82.518845,-75.46753
Subject_47,-222.2274,-0.5853528,117.87525,272.59467,307.3946,-47.19414,62.62634,-56.66504,-148.62529,-97.824524,-200.63551,-26.375778,-36.21806,-67.91621,-52.346905,75.49591,24.886703,-106.04725,-2.7443929,42.944504,-40.052914,-64.75001
Subject_48,-17.616632,282.6826,63.230175,-134.95987,-163.25574,-220.77817,224.49918,-19.175322,253.00032,-154.75922,-96.74868,33.51766,107.0221,13.735281,-159.28099,-74.8336,30.95867,-107.93795,-21.328917,45.61807,18.752571,17.80702
Subject_49,866.7525,81.49497,337.50458,-211.99748,-281.2292,102.19233,-20.451616,-67.07281,-11.445206,-139.12276,-73.56798,-72.790344,-178.25165,18.421957,5.6089926,-86.49993,-85.7981,58.417187,30.623394,-2.431527,104.61233,11.5021925
Subject_50,-1074.0253,-267.7695,-227.61337,99.95062,13.032854,-141.95267,-205.18199,122.7334,-41.594257,-83.190956,-68.24991,28.91958,56.999912,-3.1760626,37.008297,173.03775,42.869392,4.988505,48.44588,31.90374,17.921879,94.81088
Subject_51,-465.1627,89.49649,-456.06934,55.931313,34.377785,315.75104,-234.6397,268.74966,-179.74301,80.79611,169.00058,24.374422,-27.93052,-48.301853,-48.218803,-100.07466,46.262993,-20.245869,-16.287113,44.372723,-78.38243,56.310867
Subject_52,-852.3921,-225.3423,-61.126324,-405.0159,67.97991,71.91712,-16.374392,191.75562,52.230885,101.62117,136.7021,36.198814,-140.25949,141.6221,-107.1379,68.91381,-3.3361995,-2.1658273,-11.0455,-25.282204,-54.682556,56.2212
Subject_53,549.54675,-38.40483,-225.49852,-7.3593783,-7.733599,-237.25555,-9.287695,170.9773,-38.17872,199.74374,179.99829,-48.593624,-85.816086,234.60507,180.25055,-5.9971066,-30.718884,-80.43319,-17.396229,-84.10554,-114.071236,12.398924
Subject_54,331.4857,476.9991,806.3435,163.28868,59.94078,73.93777,106.15931,-288.68384,4.6406264,7.804054,93.36101,-114.87426,60.498627,2.5350108,43.0276,8.812251,-121.82125,1.0437112,-54.84051,39.749386,86.62879,171.87738
Subject_55,-240.4791,-177.50177,205.6251,45.68929,-67.86095,-287.2472,-81.82474,123.3777,-214.37778,-246.66925,-74.731804,8.758076,-168.71312,-56.937233,121.63084,42.44666,31.583263,73.26712,82.485016,92.13944,-74.66557,61.100536
Subject_56,109.93165,-973.0911,107.75356,42.85064,137.95473,315.42236,-111.0436,-122.83034,167.75781,92.317856,-125.697235,0.36107245,6.7225018,-47.78358,98.13998,9.377219,95.69071,-85.519135,-95.376396,-41.086765,-26.555626,-37.03069
Subject_57,942.4229,-443.0129,299.92908,101.611916,-36.559658,151.90953,-72.83099,-158.08356,79.89423,-2.0271842,31.479166,26.889994,-194.0803,-117.116165,-37.414505,31.251043,-18.80726,82.29755,-49.906876,-107.295815,57.473167,21.4366
Subject_58,541.1914,841.9706,426.0098,-105.434235,161.54503,-94.88041,-99.391464,145.58842,-97.79596,-23.204199,-56.624992,-50.810608,28.128534,-100.61438,41.839516,125.664314,-114.336975,-75.6415,19.672916,6.551417,-20.139414,10.375147
Subject_59,52.556374,-255.76895,290.47855,148.02574,183.50752,152.61462,-252.18535,-218.7495,-108.226814,-50.81385,68.74964,-62.97053,-60.31208,128.50972,49.088642,-4.0504837,147.13339,-74.37472,41.570477,-90.43663,4.413721,-30.892746
Subject_60,-679.12274,323.14886,175.74985,296.2494,339.21393,10.537575,-311.01602,79.612404,-94.736015,-86.06256,-22.91976,-175.25764,153.50964,-109.189766,-214.27032,73.454094,142.25034,49.51555,75.733536,-140.38435,-122.956726,42.59437
Subject_61,-814.12976,396.99988,59.72386,-202.03088,131.42409,-279.5724,33.145157,-68.023056,-163.33987,-1.7138313,-117.82216,43.50133,-57.970455,114.73588,28.154894,-47.562508,74.62703,-35.441105,-53.183342,-20.220072,42.915756,-11.947429
Subject_62,-326.7427,1046.462,78.98625,-197.357,-92.81602,-167.84084,-94.19148,12.849969,16.714529,102.00001,56.805737,95.32075,-28.926834,-65.56399,-36.809856,201.84407,0.75589234,27.738737,56.188118,146.74976,10.08654,-16.201185
Subject_63,1738.871,355.69104,-125.44695,-144.247,-148.27534,115.92775,31.533703,-118.6114,44.123123,-282.12686,396.76434,-13.226011,-78.49013,-160.5096,-4.648092,-66.4997,46.803852,-135.87277,105.7653,-69.39416,-10.939946,-56.562588
Subject_64,-208.8543,322.05795,-472.3222,36.216816,-209.77977,-160.2473,28.815355,144.83044,106.3895,11.332327,56.409904,280.2664,173.84627,-27.990063,81.752884,-68.91959,-7.4487586,-85.85435,-107.48553,-178.50046,-10.140588,42.961487
Subject_65,-62.181442,203.0076,-657.0975,257.85648,196.77666,-91.8018,-6.9599924,-258.82846,-95.67598,74.3678,-213.09265,-255.498,-132.56303,-52.342567,130.6256,-32.283085,107.83768,-70.80705,-78.829384,-18.39578,161.75761,-13.234739
Subject_66,775.9973,-336.25153,-127.040985,-93.74568,-373.553,145.01062,-227.12082,224.7572,72.22264,-241.72118,-279.094,-99.96589,-63.425663,109.13644,3.1883192,25.456984,73.24547,200.15617,-69.22774,6.5131435,70.72664,36.43483
Subject_67,-1423.9468,31.876268,187.1297,4.5120068,42.896896,-182.9956,214.11275,-80.44138,171.62276,48.345367,100.31329,-260.1695,-95.835075,-131.37752,128.30354,-65.99696,114.70715,-6.6442366,-41.377964,20.825066,-30.254023,37.26611
Subject_68,-1189.769,-291.53793,54.123573,-97.4876,71.63043,-126.448326,-140.26141,-123.01204,-35.834618,-82.56995,-67.1006,69.1262,-6.0038404,62.665813,15.666569,-41.242344,-130.2602,109.13535,-24.719273,-38.557823,-19.100176,67.49994
Subject_69,623.547,-268.6113,-121.00065,-110.00725,-52.751995,-2.2208834,-181.88983,64.688705,6.448505,-19.567472,-39.6627,-110.87865,-16.61335,28.152632,139.0072,-6.574292,32.4373,61.02345,40.63447,4.4556804,-22.511091,-17.202637
Subject_70,476.2895,136.50018,-439.5012,-17.461185,-92.76834,-84.25237,258.17294,-346.2515,-227.02844,-73.99473,-139.1605,52.87463,92.64149,-38.476933,-61.08582,83.94208,-86.669754,2.8411295,117.25,-21.996452,-101.44131,123.20933
Subject_71,303.6497,-267.16006,119.87778,-221.1611,-133.63496,100.24146,-268.94324,86.143776,-8.301751,-77.43849,36.62556,-274.40448,460.101,-32.540665,42.322773,-143.57939,36.0962,-44.627834,0.43793082,82.04259,55.26546,-130.3781
Subject_72,-299.8688,-40.417374,126.44369,-72.04402,65.68602,-52.241142,-156.10028,12.680073,-17.76706,102.27317,61.182144,56.93797,-11.087642,77.0894,-28.763887,-75.29176,66.7571,-59.75517,11.264065,32.268703,47.34948,-95.70381
Subject_73,-40.8725,450.31354,-67.80113,-21.591993,67.79286,422.75836,-225.86755,151.68181,-157.96642,24.4065,-112.83059,141.12515,-216.9699,129.16559,-120.37099,-93.3261,-71.370674,26.828962,-56.242737,5.035297,38.54501,67.46169
Subject_74,-369.50214,-278.5001,-217.86314,-59.846863,121.23712,68.12481,-131.43602,296.97922,132.96017,-24.265377,-105.56297,-60.904594,46.585506,90.77605,171.59149,80.996124,110.001465,-37.680954,22.984362,13.20569,17.832499,77.3793
Subject_75,309.7748,498.00006,232.72395,560.18787,-115.41929,-74.87629,-24.268185,-46.727077,55.889744,-109.11354,269.1754,24.910711,-95.64131,241.08557,25.765558,49.564465,40.103924,-23.016525,-16.077827,28.51755,34.926067,-41.99988
Subject_76,960.6192,151.50862,260.36633,144.87782,1.5578451,-149.541,-109.08018,322.4001,111.00364,226.02992,-114.86495,21.160564,-57.71092,99.925446,121.489624,25.528439,-79.50017,135.76381,18.781588,28.050682,-30.374304,-79.917015
Subject_77,178.73473,-442.77094,172.16354,-25.125797,229.52153,-128.9233,-29.875816,-239.4162,-97.0486,-16.657352,66.39852,162.62544,0.47761258,43.196533,-48.50007,-4.8253036,-103.038506,54.9305,42.588757,-6.3008637,47.52088,-23.576187
Subject_78,-1530.9082,-84.64086,305.48804,349.50223,-71.959175,425.5369,923.5476,552.86084,-334.7549,-270.71103,96.453674,-119.50278,130.45918,68.812485,38.687634,71.44315,-59.942726,118.26304,-97.63607,-52.154682,36.47931,-86.872826
Subject_79,710.5004,-367.2366,-723.1083,39.5646,68.244,-6.889682,299.7553,-66.78915,-182.7797,80.8788,-24.422737,16.65731,15.247942,179.38188,-132.16866,24.269972,113.66584,-66.495285,32.790173,176.87456,44.209953,-13.070289
Subject_80,281.09024,0.023099616,174.1581,-73.62367,537.49756,-197.36917,104.41828,-217.4091,-139.79413,-101.58665,108.17066,59.227932,30.876963,9.775894,3.0840309,12.030749,-36.196117,-59.693832,-68.4717,38.279236,46.5314,6.09018
Subject_81,-1293.5801,50.685493,51.697605,-380.05276,-9.953129,-158.65663,10.312653,-15.698211,23.238712,35.44132,-38.68488,32.2379,-41.56235,-142.47269,-83.87402,-2.9804986,33.97816,5.6382713,-112.50147,78.895744,3.4488473,-62.31275
Subject_82,-1153.7194,-69.74043,-44.38376,-22.426485,189.77986,-15.47379,19.200794,-23.79465,222.2768,-36.87236,47.46935,-83.121284,-201.13268,-31.661634,-4.1519933,33.7186,89.16999,-56.277924,11.397812,60.930676,10.533188,-113.62643
Subject_83,159.12994,-267.6748,79.749016,226.7555,95.98194,-208.62718,-46.719536,-193.211,-82.76585,-76.370514,100.54252,3.756962,149.98921,150.50783,-69.04149,-44.622787,-8.732165,32.465492,25.15247,-27.923094,-16.454042,-25.862394
Subject_84,510.44476,-195.0915,-43.542183,-567.5024,21.422554,-214.7308,77.34809,35.093014,-108.54876,35.283607,66.76083,-52.01867,-105.2531,17.988977,-192.73973,-22.260788,3.6267438,14.656084,-92.72843,-83.1452,-31.031084,-31.906462
