Patient ID,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19
Subject_0,0.8079568,-0.74194163,-0.4722646,0.979196,1.0544581,0.52909684,-1.6776484,-0.82040614,-0.7970122,0.63016677,-0.9575327,0.8873967,0.6618887,-1.5199182,-0.27355286,1.3579236,1.0489094,-1.2674288,1.0115218,0.2568599
Subject_1,0.17893817,0.31573087,-0.8646161,-0.81013405,1.1544795,-0.9570037,0.4475016,1.2171476,-0.073118106,0.23175545,1.2827551,-0.5110839,0.3757766,2.126941,-1.6046988,1.4834921,0.28227592,0.15160505,0.0663838,-0.17429516
Subject_2,-0.77227306,0.301758,0.17760015,1.1008554,1.0518969,1.0923064,-0.5040425,0.8467684,0.5350352,0.05466071,-0.35419777,0.39165106,0.086067945,-1.06193,0.49522793,0.6124444,0.45599726,0.5981305,0.55071634,-0.26802787
Subject_3,0.09402647,-1.0280842,0.94761086,0.07910998,-0.2610739,-0.5841043,-0.49024746,0.40735278,0.10070299,0.73805356,-0.6401542,0.18822567,0.9843917,-0.17294842,1.3845763,-0.42077217,0.34608492,0.46961167,0.4900111,-0.28340304
Subject_4,-1.6030713,0.38319978,-0.8890508,0.4357063,1.5515258,0.04707027,2.4431796,-0.60597444,-0.8286215,-0.12610824,1.3243687,-0.24278545,0.23658244,0.06612213,1.0409939,-0.92448175,-0.7248361,-0.42063087,-0.57404697,-0.41776827
Subject_5,-0.95925546,0.992392,0.06929275,-0.9260756,-0.48707578,-1.4020745,-0.51673025,0.44708842,-0.47988403,-0.4644333,-1.3311857,-0.20538941,-0.2975362,0.28299823,-0.85115653,1.9586182,0.97806436,-1.2706487,-0.9867941,0.43049955
Subject_6,-1.771239,-0.7660885,-0.7467709,-1.2283854,-0.37143835,-1.4023623,0.65262806,1.317815,1.0905894,-0.2967109,0.3224308,-1.7601475,-0.9664825,0.60277957,-0.5837203,1.0589452,1.7592317,-0.6600431,-1.8368691,-1.4954501
Subject_7,0.98585266,0.7651921,0.79513806,-0.7334432,-0.80893284,0.3273687,0.009112533,1.2238709,-1.6455065,1.0105401,0.58063734,0.5096933,-0.75968224,-1.1376178,-0.38670787,0.35997218,0.3270926,-0.80439687,0.3817609,-0.9354592
Subject_8,0.58804935,-0.99747187,-0.7646233,-1.3227936,0.8385792,0.8377101,-0.434382,-1.1158789,0.61031336,-0.31176668,-0.35854176,-1.0798953,1.4347031,1.4437096,-0.556833,-0.8124316,-0.10893674,1.2567862,-0.95498204,-0.31922793
Subject_9,-0.31482068,0.25801545,0.13305964,-0.93059343,-1.0572606,0.6984811,1.3205429,-0.56204635,0.72588134,-0.31454048,0.91929543,-1.5254688,0.811342,-1.0509715,0.96967214,0.32650235,0.35835874,-0.86126554,-0.61345804,-0.9819045
