Subject_ID,Factor_1,Factor_2,Factor_3
Subject_1,-1.2586045,-0.38385,0.0118566565
Subject_2,-2.208335,-0.91955894,-0.081353396
Subject_3,-0.039145883,0.75197023,0.74211264
Subject_4,-0.6648794,1.1113654,-0.13002512
Subject_5,-0.027884882,-0.47235444,0.54925245
Subject_6,0.7051345,0.10618024,-0.43655193
Subject_7,-8.0758175e-05,-0.26412004,-0.31534725
Subject_8,-0.049535338,1.5465385,0.548167
Subject_9,-0.7856949,1.6074133,0.7431781
Subject_10,-0.18373539,-0.25292873,2.5934403
Subject_11,-0.58623415,-0.32678294,0.5105483
Subject_12,0.5077277,-1.3871517,0.5330983
Subject_13,-1.3140417,-1.4897445,1.4879531
Subject_14,0.46455258,-0.5479451,-1.2338356
Subject_15,0.3740418,0.7266425,-0.31075606
Subject_16,1.1100227,-0.8305917,-0.9963727
Subject_17,0.14763647,-0.48538536,-0.53345156
Subject_18,0.369923,-1.399195,1.7618232
Subject_19,0.63534516,0.7261418,0.3743007
Subject_20,-0.8846165,0.304382,1.1325282
Subject_21,0.9222979,-0.8321103,-0.2169071
Subject_22,-1.4304916,-0.22875059,0.89052373
Subject_23,1.1125327,1.1474191,-0.27355465
Subject_24,0.7149759,0.78617257,0.24334402
Subject_25,-2.0565746,-2.080004,0.5096851
Subject_26,0.50873566,0.04233356,-0.39965793
Subject_27,-1.0446141,-0.026785193,0.93770856
Subject_28,0.35678792,0.6622919,0.58504343
Subject_29,-0.16668595,-0.5971172,-0.13373433
Subject_30,-0.40616736,0.8050457,0.8101466
Subject_31,-0.5098088,-0.96227133,0.62245005
Subject_32,0.8587486,0.92869073,0.31979492
Subject_33,0.78641677,-0.45572343,-0.31579626
Subject_34,0.7599858,1.504042,-1.0843289
Subject_35,1.6678859,0.14500833,-0.5744768
Subject_36,0.8403563,-0.07612661,0.6869132
Subject_37,-0.4678996,-0.061326742,-1.7454208
Subject_38,-1.4923726,-1.2988912,1.6487046
Subject_39,0.18924434,-0.28633574,0.12708254
Subject_40,-0.6228003,1.7281487,0.39444724
Subject_41,-2.4583113,0.20018423,0.2214501
Subject_42,-0.36577365,-1.6157275,1.5787469
Subject_43,-0.22108832,1.5738622,0.32892796
Subject_44,-0.08699368,-1.7849455,0.13806213
Subject_45,1.4366322,-0.6523221,0.2978553
Subject_46,0.56006676,-0.5595612,-1.104356
Subject_47,0.20369679,0.94336224,-0.6136556
Subject_48,-0.9405018,-0.76396435,0.39217225
Subject_49,-0.5764203,1.644983,0.17661215
Subject_50,1.6042806,1.8378534,-0.4862665
Subject_51,-0.9238321,0.7857197,1.5861628
Subject_52,-0.6830909,-0.679849,-1.256955
Subject_53,-1.4724683,0.62532353,-0.1921567
Subject_54,0.31697723,1.1732267,-0.69671714
Subject_55,-2.1401253,-1.495611,1.4470339
Subject_56,0.5204173,0.18967642,-0.14644048
Subject_57,0.29223877,0.21732657,-0.34209958
Subject_58,-1.110414,0.6937618,0.65340835
Subject_59,1.1001105,0.9656657,0.8254964
Subject_60,0.1544061,1.7998316,-1.5096421
Subject_61,-0.039387226,0.06790207,0.06677527
Subject_62,-1.9978292,1.2525716,-0.06764032
Subject_63,-0.8345416,0.30853954,1.4395903
Subject_64,-1.8244421,0.5251987,0.4121424
Subject_65,1.0355302,-0.15318698,-1.2687616
Subject_66,0.76626134,-0.5022968,-0.40696353
Subject_67,0.016657868,0.6096856,-0.15801308
Subject_68,1.1760185,0.05618106,-1.207037
Subject_69,2.0776608,-2.1942003,2.6101725
Subject_70,2.2127116,-0.7364327,0.08856289
Subject_71,-1.118365,-1.5441905,-0.9550639
Subject_72,-0.9830742,0.3505349,2.77846
Subject_73,0.08123769,0.2980638,-1.2884542
Subject_74,-0.4116863,0.83996177,0.41096497
Subject_75,-0.13546991,0.7061903,0.017054562
Subject_76,-0.4639523,-0.2289534,0.299971
Subject_77,-3.9307055,-1.2336928,0.3437899
Subject_78,-0.3665436,-0.5992393,-0.17101173
Subject_79,0.42881954,0.5977654,-1.4114739
Subject_80,-2.345232,0.46945038,0.87838197
Subject_81,2.1390743,0.9402811,-0.53438807
Subject_82,-0.6832383,0.34541786,1.1809759
Subject_83,-0.4889622,1.6367676,-0.72488433
Subject_84,-0.85487753,-0.7658507,0.88983697
Subject_85,-1.3947854,-0.79154974,-2.0425599
Subject_86,-1.2155652,-0.05483809,-2.8146138
