Patient ID,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19
Subject_0,-1.3899696,0.003159573,-1.0401806,-0.15678085,0.6408134,1.0905529,-0.5373204,-0.90335906,1.3895684,0.1649876,-0.6443249,-0.6809041,-1.5652864,1.2321528,-0.81718284,-0.20888571,0.937091,-0.034454122,1.5643848,1.4786563
Subject_1,-1.5649666,-1.5179468,0.68853074,-0.9412187,-0.2520636,0.112593,-0.39807075,0.33572862,0.99211526,-0.43654966,-0.31416497,-0.39466757,0.7114205,-0.14132848,0.36231557,0.9420416,-0.3512389,-1.6876693,-2.6007676,-0.38306576
Subject_2,-0.4991891,0.39888492,-1.10738,-0.9959005,-0.263016,0.49404496,0.018586671,-0.46630058,0.4055271,-0.38032335,0.8835784,0.36541054,-0.17525223,0.9014377,0.17010352,-1.0213704,-0.35761082,0.41975787,1.231354,-0.51155674
Subject_3,0.26467726,0.8399748,-0.0919811,-0.8116729,-0.13473584,0.33722663,-0.8948425,-0.2713378,-1.1036578,0.04721193,0.016536443,-0.37959778,-0.47050253,0.5993232,-0.5286611,0.44449183,0.9371252,1.5630529,0.29123324,-0.29955736
Subject_4,0.7082323,-1.1677822,-0.10907514,0.49387577,-0.5685421,-0.47219107,-0.6518216,0.07617218,1.0147096,0.17427479,-0.99722314,1.6589824,2.7111738,-0.67731106,0.89857346,-0.4511501,-0.683447,0.83013964,-0.25491798,0.009707495
Subject_5,-2.2202532,1.1794864,0.9302553,0.96876687,-0.25622004,1.1999077,0.20465659,0.22090788,0.24261436,-1.0667924,-0.74057823,1.0528718,-0.29439247,0.66803145,0.3903294,1.2909685,-0.8474751,-1.1079838,-0.27697197,1.4420229
Subject_6,-0.7390089,-0.275669,1.5222551,0.054907836,-2.052746,2.0071766,0.9314505,1.9698361,0.14139184,-0.64264685,0.71198124,1.4221692,0.8723261,-1.0682433,0.58050007,1.1720357,-0.03451377,-0.54084986,-0.7203782,0.55036724
Subject_7,-0.40695918,-0.6777996,0.43739194,-1.2864802,-0.35920322,0.21711643,0.6652274,-0.530624,-0.7497482,1.1818786,-2.0852928,-1.4315664,-0.4138488,0.5679985,-1.298164,0.08580068,-0.73674804,-0.13966793,1.2376016,0.46015236
Subject_8,0.8747169,0.67334485,1.4779114,1.2976228,-0.36415833,-0.25186616,-1.5929406,1.0871222,0.5312978,0.17575325,0.49713057,-0.6141561,-0.17835614,-0.48549828,0.29317254,-0.9390918,1.1106714,-0.6330063,-1.6509731,-1.5323032
Subject_9,-0.21230291,-0.98751503,0.9241,0.21464095,-0.63546807,0.3765656,-0.5084119,1.8630136,-0.071588375,1.4230951,0.4034657,0.2021983,0.8194121,-0.68134177,-0.22597983,-0.5526877,-0.4785323,1.0326794,1.1173152,0.7063549
Subject_10,0.57485044,-0.0025991336,-0.4370312,-1.065893,-0.3316753,-0.94362324,0.5844039,-0.26652345,-0.5210169,0.6169503,0.13197768,0.68273246,0.011517279,-0.029604392,1.1287843,-0.24389131,-0.8281469,-2.2115455,-1.0162843,1.8207141
Subject_11,0.9848815,0.029987315,-0.33075723,0.15885489,0.8822635,-0.46280244,-0.7351224,0.07539322,-0.8888694,1.7799541,-1.311721,0.66355073,0.87734854,0.05619685,0.7400752,-1.3766757,-0.37769103,0.28260157,-0.4790059,-0.8686066
Subject_12,-1.0726625,0.018080574,0.8700666,3.2311313,-1.1420275,-0.20402826,1.9634547,1.3967113,1.9418547,-0.03924561,-0.7733292,-0.7421078,0.35844815,0.20747261,-1.5472897,-0.3706155,-0.9176596,-0.7028369,-0.9042989,-0.35918504
Subject_13,1.0218651,1.031323,-1.583256,0.22151889,0.9442963,0.51176727,-1.604157,-1.7838578,-1.6409986,-0.78344864,0.4343313,0.62271285,-0.9835925,1.3228409,-0.15154517,0.62295777,1.100236,0.16084279,0.8934282,-1.4217087
Subject_14,0.32166085,0.7705499,-0.16430204,-0.53524107,1.1290319,-0.3633283,0.9267501,1.1619004,-0.94334364,0.4963844,-0.49686792,-0.36168188,-1.0157056,0.2839413,-0.13474317,0.41174594,-0.50744677,0.36125085,0.58832735,1.1179453
Subject_15,-2.32309,-1.0003843,1.3874463,-0.0013521338,-1.3931922,1.093787,1.3047342,1.3539848,1.2448008,0.81918496,-1.0222878,0.8922306,0.6367071,0.45961124,-0.3870302,1.089948,-1.2330449,-1.1477628,-0.7608464,0.88362205
Subject_16,0.7380587,-1.2169421,1.4633625,-0.6971796,0.48699605,-1.691666,0.32227203,0.28003272,-0.7738862,-0.6921177,0.10439934,0.25168243,-0.49465317,0.5722252,0.222325,-0.54907376,-0.69418436,-0.45309156,0.94471407,0.6390562
Subject_17,0.83002853,-0.9819198,-0.8201646,0.7824168,1.352614,-0.5178281,-0.6843776,-0.9771702,-0.18839931,-1.2043147,0.74940866,0.27567425,-0.402879,1.062154,-0.99681467,-2.2154188,1.2109888,1.1135434,0.9150299,1.1328937
Subject_18,0.43663856,-0.27229393,0.22580029,0.07120878,0.4215752,-1.0865657,0.61757463,0.58048904,0.24249282,0.5806361,0.8653477,-0.77808243,0.067554444,-0.49488628,0.38062632,-1.0508937,-1.0198467,-0.24685046,-0.28159758,-0.63693833
Subject_19,-0.50038254,-0.77758336,1.1787493,1.6185632,-1.4473642,0.9159633,-0.58586067,0.91285694,-1.3929663,1.3057421,-1.6715988,-0.13970102,0.91422755,-0.40034208,0.845012,0.85080683,-0.6068056,-1.0981965,-1.0622373,-0.57831717
Subject_20,0.7182148,-0.9716803,-0.61470395,-0.4063102,-0.029244976,-1.5158597,-0.37202525,0.52438986,0.78729975,0.4864677,0.9428223,0.03991952,0.09865097,-0.8526145,0.9570241,-0.6781163,-0.6335953,-0.15928002,-0.41128114,-0.3156717
Subject_21,1.0233251,0.40739614,-1.4150786,-0.45011508,1.3775963,1.0683907,-0.90709054,0.3959716,-1.5056055,-0.4665229,0.61117435,0.41238734,-0.6113095,0.3817813,1.391179,0.3846456,1.1694565,0.42375287,1.1899056,-0.9815664
Subject_22,1.0622962,0.58629763,-0.75069934,-1.5781156,0.41522056,-1.1031375,0.4371499,0.3802188,-0.076224156,1.3055657,1.3311865,-1.0341083,-0.6192319,0.7422017,0.5414561,-1.4824542,-0.90445715,1.0068319,0.75309676,0.35797194
Subject_23,-0.64786625,-0.0888748,-0.48866147,0.46477774,0.5810138,-0.86626965,0.062043708,-0.6456943,-0.84089744,0.6718444,-0.3513128,-0.24596167,-0.1794067,0.3836379,-0.0019896524,0.42902583,0.4211325,-0.62638503,-0.983003,-0.18337105
Subject_24,0.65079397,-1.6413537,-0.52678037,-0.22452286,0.9140911,-0.43161777,0.55860543,0.04110844,0.6326595,1.3407011,1.1407789,-1.0940405,0.57659,-1.3973095,1.1085116,-0.50600654,-0.47135514,0.7385513,-0.26069167,-0.07293756
Subject_25,0.97876555,0.9970085,-0.725219,2.0614202,0.5615746,1.0263464,-0.8520084,-0.31835338,-0.70594037,-1.3112946,0.80012715,-1.3463981,1.153706,1.6829934,-1.2675297,-1.8934617,0.7077156,0.9988133,0.93127686,-0.5394368
Subject_26,-1.23019,0.5970741,-0.32156524,-1.4862834,0.68544424,-0.49186718,1.5708059,0.0974211,-0.89568204,0.034295235,-0.19922519,-1.0077808,-1.2136374,-1.3036206,-2.4846964,-0.2861539,-0.296888,1.4060062,0.9985104,0.73720264
Subject_27,-0.6001718,0.14518024,0.32744667,0.64967704,0.29316422,1.1196022,1.2160965,-0.26016712,0.8233855,0.42899108,0.32627085,1.1832317,0.33972946,-1.0675112,0.44808698,0.0937521,0.7409917,-0.37917447,-1.4920502,0.3187523
Subject_28,1.2284219,-0.9902916,-1.4336113,-1.1919351,1.2170489,0.58520716,0.5853254,-0.88317764,-0.21579522,0.28499213,0.38170555,0.60627127,-1.390967,0.6403718,1.0007565,-0.53618276,-0.80758786,0.4137619,1.3437171,-0.6704948
Subject_29,0.3186665,-1.5543076,-0.26606974,-0.9730555,-0.3544329,0.81049776,-0.50178003,0.45695934,1.8508341,-0.4500626,1.0737635,1.3383183,-0.29736683,-0.8330164,0.75918055,1.3673171,0.8109094,-0.6822772,-1.8299791,0.8484572
Subject_30,0.9556085,-0.18612929,0.9048385,-0.24455667,0.50652057,-0.747568,-0.7284099,0.7064164,-0.6638512,-0.25708008,-0.07803394,-0.06424853,-0.65350604,0.35167274,-1.045449,-2.1025875,0.6230209,1.0501131,0.3420574,1.1164641
Subject_31,0.4352626,-1.2063004,1.5415982,0.70427775,-1.0977286,1.1471229,-1.5953808,2.5960095,-0.8761898,0.3741704,-1.3620673,0.81482863,1.9420148,-0.96083224,0.70360005,1.3087685,0.85726213,-0.17180543,-0.25449634,0.162337
Subject_32,-1.1267606,1.4614272,-1.2179309,0.625962,0.95221746,-0.3115783,-1.0434678,-0.6177979,0.22693238,-1.6769854,0.15276442,0.39133614,0.5759469,0.9128874,-0.37811357,-0.8362639,1.0554434,0.85955286,0.86689836,-1.1157126
Subject_33,0.324668,0.29785135,-1.780502,-1.6745367,1.7512926,-0.21788555,1.4526151,-0.97648084,-1.076627,-1.2824075,0.32462424,0.25349587,-1.9210844,0.5472873,-2.00943,-1.3239907,-0.33532235,1.2175478,1.4744184,0.6859992
Subject_34,-0.82477987,-1.6535172,0.6722333,0.33031505,-0.34792104,-0.76327336,-0.18546921,-0.37314186,0.928293,-1.3330283,0.33473983,0.48706427,0.8493216,-1.9590279,-0.29280907,1.1879702,0.5689948,-0.23309839,-0.37836915,1.4929754
Subject_35,-0.06258097,1.0725993,-0.63638186,-0.2330727,0.430687,-0.6194942,0.6289011,-0.7244976,0.055729028,2.8043416,-0.22486159,-0.7953778,0.45590678,0.7779836,0.62043685,0.15743923,-0.7842056,0.38880825,0.37325063,1.1652083
Subject_36,-0.9343624,0.23913582,-0.801868,-1.1613718,-0.36911678,-0.2740413,1.3695304,-0.55356646,-0.4326474,0.023271732,0.040193904,-0.6292283,-0.2726363,-0.37131166,-0.6997128,0.7773893,0.6114087,0.5579936,-0.13208394,0.79197127
Subject_37,0.307339,1.2907822,0.25981498,2.6177557,-0.2965657,0.64058894,1.0890734,-0.5584273,-0.9321577,0.68920183,1.0226659,-2.3748202,-0.2972182,2.0939522,-0.87425244,0.25801542,-1.1227129,-1.0873218,0.1143083,1.1221156
Subject_38,0.00901627,-0.17645493,1.2030071,0.23017998,-1.3199857,-0.63611364,-1.4401809,0.9668783,0.21127607,0.3322083,0.5570686,1.5016174,1.2207205,1.1646962,-0.45290035,-0.93181545,1.072748,-1.8476036,-2.360876,-0.47597402
Subject_39,0.4707995,0.6704629,-0.9074368,-0.7889213,0.83874923,0.68495566,0.06582351,-0.5728673,-0.5716311,0.6676519,0.506372,0.8909095,-0.4084303,1.0558423,0.6780504,0.12725236,-0.38215563,0.67018753,1.5872821,-0.83421814
Subject_40,0.28438875,1.2655133,-0.28165174,0.6317983,0.4371826,-0.22040702,1.6123652,-0.40054163,0.36262774,-0.85204756,0.3255164,-1.0753787,-0.7240666,-0.13886271,0.03157883,0.23813803,-0.25348583,0.14903511,-0.5935999,0.35797793
Subject_41,-0.11484487,-0.87742674,2.4683974,0.9535247,-1.094483,-0.19577742,-1.5975498,1.1629803,-0.64611346,-0.4034166,-0.86146396,-0.8710696,-0.59300935,-0.3258766,1.1570308,0.898817,-1.27452,-0.35191178,-0.50940067,-0.8206882
Subject_42,-1.9761041,-0.61040735,0.5148162,-0.0534191,-0.7747411,-0.43101352,1.1287671,0.5843474,1.3388606,-0.91971993,-0.4132751,1.1906778,-0.37226874,-1.1693302,-0.9435083,-0.7010734,-0.87921846,-0.19845542,-0.4657549,1.0790472
Subject_43,0.23625153,0.49211514,-0.1340718,-0.6564885,0.8091076,0.5918411,0.8452918,1.1427554,-0.74958944,-1.2321332,-0.5088323,0.4416061,1.0928509,0.106144875,-0.34750196,0.259763,-1.0735716,0.079426594,0.84183973,-0.24674204
Subject_44,-1.298416,-0.31519094,0.39674634,1.3081858,-1.2459596,0.7274853,0.63783884,0.60227996,2.7500238,-0.13710319,-1.4570608,-0.5842921,1.4123548,-1.2645088,-1.3018707,1.1212782,0.5015417,-0.115535304,-1.004507,-0.18261908
Subject_45,0.97962177,-0.41874868,0.039509404,0.30259994,0.3903328,-0.794472,0.5367552,-0.63649267,-0.016629538,-0.20098872,-0.85482824,-1.3732419,-0.24519643,-0.787867,-0.6566609,1.2996472,0.05579907,-0.39603952,-0.5718188,-0.35156
Subject_46,-0.5746151,0.023293499,-1.2282891,-0.58355373,-0.55816394,1.2009491,2.668236,-1.4064275,0.9062679,2.487275,0.14049473,0.6784089,0.26287976,-0.29749778,0.6670968,0.38121152,0.86356574,0.39657965,-0.24189228,0.15021017
Subject_47,0.5349523,0.6705866,0.23492117,1.4737784,-0.24669434,0.5663469,0.16422072,-1.6345496,-0.7952656,-0.70311004,-0.5819666,-0.0680429,0.15467803,0.16537799,0.3626233,0.23817539,-0.4358372,0.41348353,-0.23344104,-0.48141295
Subject_48,0.23853135,-0.15395933,-0.60178816,0.47460708,-0.24384448,-1.1545639,0.6432148,-0.3279136,1.2986714,-0.56805134,1.1345055,-0.30244544,0.2082692,0.6671605,0.09539324,-1.9950887,-0.6467867,-0.18538599,-1.2714992,0.68211335
Subject_49,0.2648983,-1.2609421,0.35171056,0.71589756,-0.9998958,-0.18329215,0.55316824,0.93927824,1.0722753,0.5666326,0.3926499,0.74831694,0.45950502,-1.1675566,0.4498414,0.46463975,0.011139985,-2.0491345,-0.40111902,0.6970039
