Patient ID,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19
Subject_0,0.626698,0.65244657,-0.39898363,0.9301342,0.86449695,0.75704354,-0.7860325,-0.7410412,0.49064404,-0.52224004,-0.9045062,1.1435574,-0.8419332,1.2294947,0.5360073,-0.9359611,0.39829934,0.8058945,-0.9065933,0.8871574
Subject_1,1.1255932,-0.12013972,-1.1204891,1.0599695,-0.6548485,-1.1641767,0.79898804,-0.6821985,-0.6991998,0.93779844,1.0868273,-0.91420835,0.62524956,-0.71458906,1.3049937,-1.2958935,0.8537174,-0.82535857,1.0570518,-1.1485202
Subject_2,-0.87003535,0.1909992,0.28748816,0.1644294,-0.47583652,0.77588665,-0.9147693,0.69015837,0.7685631,-0.59912544,1.1885232,0.21826781,-0.39949453,0.2790771,0.3732576,-0.44388357,0.37270647,0.55466115,-0.20182878,1.0785992
Subject_3,-1.0682949,0.4555202,0.83732164,-1.2526398,1.075903,0.7750605,-0.6312343,0.025511777,-0.95501333,-0.5683719,-0.08232932,1.231307,-0.5035694,0.9096417,-0.91967344,0.42939198,0.8255013,-0.14221935,0.6596992,-0.5375544
Subject_4,-0.98716855,-0.45467675,-0.17363511,1.5000906,0.42484725,0.9162705,0.7096258,-0.9538819,0.73604727,-1.0942748,1.0460962,-1.7224219,0.47753266,-1.0378199,1.0558772,0.9189582,-1.1718135,-1.3185232,-0.79520226,0.19182512
Subject_5,0.6814773,-0.48751748,-0.94533026,0.8547293,-0.42465058,0.1242092,-0.4487464,-0.7246224,-0.6242505,1.0790302,-1.4460658,0.21824047,0.31004384,0.50636476,-0.8301705,-1.4762608,0.38118032,0.57958835,-0.760277,-0.4992764
Subject_6,-0.776597,-1.3150128,-1.201692,0.07959437,-0.6730902,0.8054142,0.8216201,0.9989699,-1.4083021,-0.8441831,-0.2490859,-1.0144665,1.3025262,0.734574,-0.15067819,-0.8473334,-0.3942443,0.7529391,0.28140062,-1.1190867
Subject_7,0.5731207,0.12706555,-0.50048476,0.17283906,-0.69961333,0.35675818,-0.9611287,-1.0141803,-0.74493915,0.8831193,0.269643,-0.1480594,-0.8515088,0.2966996,0.74539244,0.097991206,-0.5821668,1.4287658,0.55304354,-0.766137
Subject_8,0.8828445,-0.65690213,0.09574137,-1.0835227,1.190063,-0.72619265,0.77543825,-0.6678829,0.81585366,-0.52953637,0.0043456145,-0.4209415,0.783647,1.0759193,-1.0334046,0.64774346,0.5325117,-1.0716271,1.1794223,-1.1017008
Subject_9,-0.9380039,-0.6754364,0.3779889,0.6248547,0.7661533,0.8126215,0.06440121,-0.7141673,-0.5735337,1.2068411,-0.04819033,-0.9136614,1.4480927,0.046552476,0.8399847,-0.20266342,-0.91418844,1.0058808,0.45675683,-0.4194995
