Patient ID,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21,Factor_22,Factor_23,Factor_24,Factor_25,Factor_26,Factor_27,Factor_28,Factor_29,Factor_30,Factor_31,Factor_32,Factor_33,Factor_34,Factor_35,Factor_36,Factor_37,Factor_38,Factor_39,Factor_40,Factor_41,Factor_42,Factor_43,Factor_44,Factor_45,Factor_46,Factor_47,Factor_48,Factor_49
Subject_61,1.1419193,1.3888638,-1.5846808,-0.67108625,0.467954,-0.69965476,-1.1515311,-0.54834324,-1.6080968,-0.90430105,1.2903911,-0.9531287,1.5439281,0.6170635,0.16064262,-0.95091796,0.8445343,-0.3409758,1.0079111,0.9860598,0.76771164,0.26732972,1.628313,-0.666385,-0.71914864,-0.7294109,-0.39581946,-0.18781433,-0.14404604,-0.66363406,0.62383693,0.027161544,0.59583426,-0.5964678,-0.7779373,-0.82443047,0.46105522,-0.97827196,-0.43465987,0.9370575,-0.30815753,-0.5302279,0.2982202,-0.41519213,0.6942591,-0.34231657,0.5574396,-1.5361849,-0.11262105,1.257715
Subject_62,0.9488192,0.9078014,-1.1362805,-0.63030505,0.017166901,-0.18287414,0.14570978,0.14776638,-1.4469078,-1.0908403,0.73384297,-1.5152667,0.16268425,-0.72765046,0.5755353,-0.39571223,-0.02687912,1.3574641,0.6501304,1.5441822,-0.68432426,1.1207141,1.744425,0.51589036,1.5306886,-0.734679,-1.2090049,-1.3975521,1.2847501,-0.92925566,-0.47168246,0.16143073,1.1176333,-1.1850567,-1.2849358,-1.1413113,0.5972956,0.50657344,0.6395851,-0.80349344,-0.76252204,0.20973,0.14029069,1.1100762,1.2768086,0.7631495,-0.7689864,-1.1767355,1.8439263,0.33202282
Subject_63,0.026653266,-1.0235287,1.0032583,1.2918729,-1.1740124,1.5601642,-0.41201532,1.0724733,0.4284401,-0.79458404,-3.135573,-0.011431274,-0.77014863,-1.7954301,0.4055154,-0.72844255,-3.132153,-1.8049773,-2.3243353,0.35739186,-2.6781042,-1.80151,-1.0237719,-0.27889118,0.187942,2.6231985,-1.2868189,-1.3272699,1.6843174,-0.73416835,-0.928217,-1.1015053,1.7884521,1.1946949,-0.85897464,1.1322501,-0.82676953,0.35026774,-0.70757383,0.13609488,-1.4982321,-1.3882293,0.9449957,1.9429567,-0.6850019,-1.4197971,-0.8994274,2.4766874,2.1669116,-1.4162834
Subject_64,0.4045477,0.3682222,-0.40080732,0.8835904,0.226605,0.160725,-1.3256367,-1.0449109,-0.6834208,0.18196191,0.4676923,0.087231115,0.91909015,0.34796268,-1.4200859,-0.7602325,0.83027595,-1.0894935,0.44214356,0.92797166,0.64997137,-0.8725283,-0.6927317,1.3454952,-0.76024956,-0.35110998,0.5980231,-0.8731205,0.32981187,-0.59313637,0.5913926,1.5064895,-0.5440839,-0.68435603,-0.88715947,-1.1576738,1.0568383,0.50396526,0.66243327,-0.42729366,0.34905913,0.5744541,0.7645989,-0.70767134,1.1345665,-1.0963229,0.28777358,-0.29141918,1.5310466,-0.8868598
Subject_65,1.4179071,-0.18067275,1.330463,-1.0490456,0.75157714,0.36008224,-0.08773626,-0.676476,-1.1631126,-0.18744785,0.6515774,0.542607,0.54982513,-0.7720234,2.4227505,-1.1871756,-0.94060266,1.2529838,0.60739195,0.5579004,0.46653193,-1.5325462,0.84636515,-0.9735618,-1.5654422,0.60292953,0.10654907,-0.06473419,-0.6985081,0.49225152,-1.086968,-0.36232376,-1.7274776,0.8937066,-1.254548,0.042924,-0.7736891,-1.491612,1.4480027,0.34959006,1.3310509,-0.3107373,0.45739725,-1.5116142,-0.14086978,1.042534,-2.1281538,-1.2700883,0.83771425,-0.56028265
Subject_66,-0.23737535,-1.7271407,0.5550221,-0.3034428,0.22881058,1.0635881,-1.1142116,1.7273647,1.5617532,-0.63275886,-0.6556401,-0.6863822,-3.1358533,-0.6484908,0.58044475,-0.19790795,-0.98508006,-1.1261959,1.2123848,-0.16195892,0.9736092,-1.3181006,-2.3387492,-0.83231485,-0.6563152,1.3299154,-1.6491151,-0.119841285,-0.7531041,-0.45297968,-0.4858038,-0.17395553,-0.95464563,0.24419366,0.84125215,0.6326094,-0.9489258,0.8952117,-0.04397385,0.79207975,-0.49909532,-1.4895685,0.65371495,0.46014804,-0.46604818,0.2670679,0.94385177,0.83387023,-0.067800924,0.37349227
Subject_67,1.6566311,1.5566735,-0.36921516,1.1828346,1.4574567,-1.8530693,-0.26110378,0.97459424,-0.7494472,-0.70094323,1.1062468,-0.96227735,1.5569094,-0.89344627,0.555008,1.0159438,0.5009767,-0.8543863,0.4154452,-0.56443083,-0.4745542,0.24392124,1.6212885,-0.8071106,-0.9811577,-1.7232703,0.21773723,-1.2075598,-1.063348,0.2999789,1.3973155,-0.13988397,0.58559513,-1.5343653,0.3790041,-1.7517885,2.2466855,0.9137353,-0.12839499,-0.84693605,0.28569302,2.1738553,0.23088375,-1.4398069,0.9853285,0.4038196,-1.1029879,-0.9282363,-1.5653008,-1.0876294
Subject_68,-0.81621057,1.3395709,0.5588269,-0.88084686,1.2371186,-0.26180765,-0.78629345,-0.3436857,-0.66318953,0.6382642,0.6606564,-1.0228434,0.9681384,-0.2338972,-0.27935058,-0.72136414,1.2838997,0.30861786,0.5591363,0.77499324,1.7412801,1.728282,0.60199,0.32477397,-1.5128965,-1.3516399,-0.87157667,0.8564453,-1.5453492,-0.74564475,1.3616487,-0.75034094,-0.7821127,-1.1656983,-0.6033434,-0.927381,0.81665784,-0.9317628,0.9925718,0.97649395,-0.5354708,-0.58769876,0.057387006,-1.263198,0.7492903,0.2515424,1.0192863,-0.96122813,-1.3302386,1.3449159
Subject_69,0.56181985,-0.52017134,1.0476612,-0.44763878,-0.14238168,0.92738134,0.25087297,-0.9915577,0.18699905,1.3802199,-0.6335494,-0.40395737,-1.3748462,-0.14922978,0.551807,-1.1607807,-0.10603939,0.111386806,0.53086007,-1.1823701,-0.12138225,-0.6152819,-1.0342534,-0.97125447,-0.6305009,1.0191091,1.0087296,0.29141238,-0.08072313,0.28114095,0.45237792,-0.9118666,-0.5732938,0.48130342,-0.17617737,0.39983198,-0.9064365,-1.0289261,-0.5557885,1.6790661,0.56981033,-0.50767946,-0.5343282,0.39807302,-1.2138505,0.78789,0.5941674,1.0834386,0.22967803,-0.56221926
Subject_70,2.023503,-0.45986265,0.5776603,0.7637946,-0.25882342,1.7115268,-0.9416816,-0.8880584,0.11474672,0.28284892,-1.0812163,0.705612,0.28607756,0.1858094,1.3907446,-0.66402674,0.5823514,0.4494438,0.06512308,1.2825543,0.21037295,-0.1638516,-0.3378148,-0.86125684,0.9240411,1.2029054,-0.45990717,-0.14422156,0.61758727,1.508693,-0.4520816,1.2203994,1.9690721,1.1890643,0.6310932,0.5711206,-1.5745143,0.9341241,-1.6394602,0.77979493,-1.1228315,0.47680137,0.73250574,-1.0591075,-0.016466338,0.20543768,-1.1165447,-0.1249561,0.68325114,0.17175634
Subject_71,-0.89071983,0.7290292,0.3570495,0.3429126,-1.187318,0.22028254,-0.46910533,0.19356596,-0.79875416,2.2164595,-0.4220198,-0.26675454,-2.7336311,-1.3422358,-0.8533113,-0.09696731,-1.1369003,-1.7991973,-2.1385694,-1.2983097,-1.5141052,-0.49822262,-0.4820608,0.35693327,-0.6461863,0.41011488,1.9155519,0.378118,0.06858882,-0.23417209,0.30787078,-0.40302342,-1.3364072,1.5991749,0.67282325,-0.0325677,-0.8334541,0.1427809,0.7447575,0.5731559,-1.4932314,-0.91994035,-1.9885881,0.123707555,0.3235224,0.3640436,0.6991351,1.2789729,-0.6021559,0.0497776
Subject_72,0.27285004,0.36347017,-0.5392789,0.7590841,1.3002032,-0.6867157,0.69908106,0.34245244,-1.0829458,0.21589218,0.6390604,-0.684839,0.808987,-0.6630656,-0.38982946,-0.8512997,-0.07775381,-0.20657678,-0.91707796,-0.41764003,0.5573508,0.92633533,0.28828785,0.4013232,1.3911735,-0.1583788,0.6548975,-1.1613553,-0.29509655,-0.42267907,-0.06595728,-0.5019593,-0.41524884,-0.6249097,-0.027763214,-0.44653526,0.5210802,-0.639428,0.81972694,1.2865876,-0.026612168,-0.82683855,0.039889593,0.34832147,0.3224748,0.23792972,0.74779046,-0.35764492,-0.32824343,1.1459323
Subject_73,-0.6174858,0.41974863,1.2476629,-0.9677656,-0.70641106,-0.55878884,-1.3936176,0.011690272,1.1770252,-1.6406918,0.84292483,0.5417653,0.26375312,2.4823709,-0.7947079,-1.1489834,1.2973466,-1.5172433,1.0159924,-0.44115677,0.057186536,0.4231348,0.3754884,-1.4395705,1.9154283,-0.519489,-1.1434697,1.0972282,-0.2978412,1.5231688,-1.1175518,0.35896376,-0.30906293,0.96527255,-1.4979762,0.31931263,-0.8901077,-1.1333954,1.4622756,-1.6850721,0.33557215,-2.459744,0.9467587,1.5385255,0.8298063,0.5685879,-0.19464158,-1.0898768,0.9549082,0.6316193
