Patient ID,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21,Factor_22,Factor_23,Factor_24,Factor_25,Factor_26,Factor_27,Factor_28,Factor_29
Subject_68,0.2380796,0.8962496,1.3661208,-1.6621069,-1.1584487,0.97218466,-0.8999724,-0.5643895,-1.861824,-0.6608318,-0.47373042,0.9360766,-1.3154205,0.7662576,0.54187864,1.3234442,1.0653036,-0.57895935,-1.0024694,-1.1186208,0.6995867,-0.41827723,-0.43011764,-1.0714438,0.24448675,-1.3530076,0.7349652,-0.8816206,-0.5705715,1.1957546
Subject_69,-1.1742895,-0.6698048,-0.84029776,-0.09125919,0.5415474,0.7392492,0.33093947,0.888386,-0.63611937,0.28438398,0.7238166,-1.1001401,0.038834114,-1.0376086,-0.9171144,-0.60131425,-0.29495946,1.138074,0.46175116,0.3366046,0.52083737,0.6417162,-0.35482478,1.1149395,-0.30022,0.97191757,0.99361384,-0.7636687,0.7559781,0.4121936
Subject_70,-1.6975468,-0.76450735,-0.16276985,0.82636374,0.4955136,1.2374194,-0.3087739,1.5290865,0.55679333,0.29006866,-0.64803827,0.02261506,0.31565377,0.182234,-1.4702241,-0.944483,0.60100037,0.23837617,0.47748902,-1.0409045,-0.48159483,0.6741405,1.4277403,0.040416963,-0.2378654,1.2100289,0.03780617,2.295479,-1.2564665,-0.9656054
Subject_71,-1.4168557,0.12405703,0.47390753,-0.6143207,-1.4037051,-0.86600107,0.04025635,0.33587477,0.7766004,1.2883976,1.441898,-1.2278383,0.045417115,-0.46589068,-0.8867971,0.3140731,-1.5796101,0.790604,-0.1005277,-0.015306188,-0.9896901,-1.5197498,0.119052745,2.1400995,0.95442677,0.66472065,-0.041095417,-1.9974408,0.6628377,0.6488176
Subject_72,0.90802586,0.6660168,1.280763,-0.19904785,0.0017536496,1.1480328,0.53862655,-0.5568769,-0.7385771,-0.3189758,0.5135963,0.18169208,-0.63865507,-0.20121662,0.52448267,-0.21870601,0.34492382,-0.25618488,-0.34233183,0.14248091,-0.6636265,-0.92083025,-0.7612739,-0.61896515,0.83052784,-0.2077442,-0.7555686,-0.314115,0.54585505,0.6493354
Subject_73,0.80183196,0.8083684,-0.32353264,1.2933495,-0.6837773,0.42421347,0.7358758,-0.83072245,0.9692088,-2.0071783,2.0554237,1.5321052,-0.18267661,1.3704778,-0.8623878,0.48112983,1.9949621,-0.20253946,0.17158054,1.3229195,0.39514098,1.0337195,0.56849134,-0.11519944,-1.0017463,-0.36795628,1.0170729,-0.65872383,-0.038761374,-0.5523262
Subject_74,1.2020973,1.1759902,-1.0245345,-0.11077648,0.1842794,0.32714865,-1.0766257,-1.0700215,0.38873994,-1.0006212,-0.21788208,-0.21426721,-0.7897216,-0.56761515,0.5322896,0.1484367,0.64415294,0.45208663,0.011745196,-0.9559328,0.72149694,-0.4511164,-0.43896684,0.6430849,-0.64378625,-0.6315917,0.9737272,-1.1917205,1.6297823,1.2913364
Subject_75,-0.4565416,-1.7692951,-0.88659775,1.0623853,1.7528058,-0.9452843,1.7932187,0.6244387,1.7194283,-0.3928438,-0.5879978,0.8061904,0.35238856,1.008521,-0.8396949,-0.7477756,-1.5189979,-1.5876307,0.19480278,1.2239866,0.889052,-1.5838368,-0.6605461,-1.1141944,0.23523025,0.49178657,-0.37442583,-1.3381673,0.28631482,0.13088264
Subject_76,0.52989066,-0.8272,-0.51502395,0.7318321,1.234188,0.5708001,1.7050338,1.881691,-1.0735605,1.333404,1.6321217,-0.34160027,2.0095866,-0.7013681,-0.50124645,-0.047763273,-0.8639246,1.1148529,1.3077737,1.1493058,0.52002484,0.6706125,-0.2078655,1.0778091,-0.23383857,0.36832434,-0.19042742,0.28324503,2.2695405,0.5866111
Subject_77,-0.6589379,-0.6121712,1.4348935,-0.75016946,0.42311576,1.0316641,-0.36051714,0.028634952,-1.7152226,0.4958875,0.60044485,-1.1144059,-0.6272058,-1.166152,-0.93897873,0.590564,0.94807947,0.24231668,1.0587368,0.08208425,-1.0433584,0.33218148,0.26951277,-1.146065,-0.86369854,0.4483313,-0.41942036,0.21045642,-0.5051348,1.223709
Subject_78,1.3476583,1.5582553,0.6116942,-2.283776,-1.1321366,-3.1988153,0.50719595,-0.31142184,3.0234725,-0.71698195,-1.6083992,2.1178346,-0.75660706,2.4482853,1.4577487,-0.15702593,-0.70360285,-1.459902,-1.8901939,-1.2282546,-2.434016,-0.35481343,-1.2423768,-1.8570545,-0.54067385,-2.2580383,-0.5273795,0.6198214,-0.48602882,1.7403274
Subject_79,-1.0837492,0.25524518,-0.80351675,0.6990659,1.3952012,0.95301163,1.3222355,0.9574565,1.0118877,-0.5979864,-0.9012327,-0.36724308,-0.69436634,-1.4347875,-1.4613827,-1.3037368,2.0904121,1.6451477,1.2016869,-1.4040308,-1.4703124,-0.5105722,0.6457108,-0.05501024,-1.3777748,1.3038409,-0.8790001,0.45526987,-1.5965966,-0.44954887
Subject_80,0.1713545,-0.25697353,0.75287676,0.4956473,-0.6981598,0.31656107,-1.70815,-0.04588747,-0.83494323,0.54579973,0.9371914,-0.6208487,0.43687803,-1.3583361,-1.0021672,-0.5126109,0.6581468,-0.95148104,1.7125155,0.10043652,-0.6386847,0.38361657,-0.77775663,-0.95892715,0.27600157,0.6675432,-1.0932196,0.2754815,-0.8838724,0.5887058
Subject_81,0.8225275,1.943788,1.4805996,-1.2177473,-1.1489415,1.061837,-0.65778446,-0.9786336,-0.5501809,-1.2669578,-1.6226677,0.8115919,-0.5465469,0.81319445,2.1376739,0.19259897,1.1357359,-1.1405455,-1.5526618,-0.52494633,0.7870741,-0.07520878,-0.82166594,-0.79755235,0.1302032,-1.307422,-1.3604313,0.29827416,-1.1430969,0.6196154
Subject_82,1.6598152,0.94506913,0.890212,-0.872364,-0.79156435,0.58119905,0.6760223,-0.8899764,-0.59441984,-1.1854806,-1.7451982,0.3271834,-1.6835381,0.3988305,1.8632406,0.6692794,0.5402378,-1.1075761,-0.9566771,-1.1060008,1.1051368,0.42253712,-1.0320014,-1.0954381,0.5915012,-0.93596727,-0.10990547,-0.27122092,0.96713465,-0.31591862
Subject_83,-0.41132617,-1.4905047,0.85542375,-0.50184345,0.368478,0.3244579,0.28205892,-0.109906845,-0.32691747,0.8198435,0.9963255,-0.3106185,-0.3405578,-0.67261815,-1.1833111,0.7221635,0.6616749,-0.25075257,0.46281138,-0.94776505,-0.27865052,-1.3537378,-0.40050548,-0.60592234,0.21449846,0.82059443,-0.7625963,0.030503524,0.6738406,0.6777505
Subject_84,-0.48685938,-0.020447945,0.4466964,-0.38389644,-0.5845969,1.1406184,-0.07333102,-0.4851562,-1.192389,-0.16274135,-0.43114552,-1.7596904,1.0746689,-1.2298797,-0.64811105,-1.0033695,0.77831817,0.9995341,0.15526523,0.8010083,0.68404084,0.78105205,-0.7487662,0.30038214,-0.94118917,1.5873505,-1.2644764,1.8109792,-1.4249015,0.4383203
Subject_85,0.35474038,0.20631291,0.6851622,-1.2057465,0.6892691,0.50929105,-0.55824184,-0.86668926,0.21580268,0.8730779,-0.23257592,1.4746846,-0.89314,0.5131631,-0.36603826,0.66012585,0.52329046,-0.7149971,-0.7694343,0.55154276,-1.5251025,1.1959771,0.63242996,0.55412894,0.38786852,-1.2153031,-2.4704056,0.044668544,1.5847306,-0.33202827
